model,phenomenon,accuracy
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,agreement_determiner_noun-across_1_adjective,0.8045
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,agreement_determiner_noun-between_neighbors,0.8645
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,agreement_subject_verb-across_prepositional_phrase,0.5445
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,agreement_subject_verb-across_relative_clause,0.59
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,agreement_subject_verb-in_question_with_au,0.736
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,agreement_subject_verb-in_simple_question,0.8315
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,anaphor_agreement-pronoun_gender,0.81
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,argument_structure-dropped_argumen,0.826
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,argument_structure-swapped_arguments,0.9785
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,argument_structure-transitive,0.6565
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,binding-principle_a,0.721
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,case-subjective_pronoun,0.914
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,ellipsis-n_bar,0.5055
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,filler-gap-wh_question_objec,0.842
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,filler-gap-wh_question_subjec,0.908
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,irregular-verb,0.711
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,island-effects-adjunct_island,0.805
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,island-effects-coordinate_structure_constrain,0.5985
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,local_attractor-in_question_with_au,0.952
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,npi_licensing-matrix_question,0.7055
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,npi_licensing-only_npi_licensor,0.566
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,quantifiers-existential_there,0.9505
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,quantifiers-superlative,0.541
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,overall,0.7548695652173913
