model,phenomenon,accuracy
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,agreement_determiner_noun-across_1_adjective,0.853
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,agreement_determiner_noun-between_neighbors,0.815
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,agreement_subject_verb-across_prepositional_phrase,0.563
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,agreement_subject_verb-across_relative_clause,0.622
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,agreement_subject_verb-in_question_with_au,0.7935
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,agreement_subject_verb-in_simple_question,0.901
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,anaphor_agreement-pronoun_gender,0.863
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,argument_structure-dropped_argumen,0.834
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,argument_structure-swapped_arguments,0.9625
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,argument_structure-transitive,0.5875
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,binding-principle_a,0.742
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,case-subjective_pronoun,0.9975
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,ellipsis-n_bar,0.4995
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,filler-gap-wh_question_objec,0.847
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,filler-gap-wh_question_subjec,0.9205
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,irregular-verb,0.8475
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,island-effects-adjunct_island,0.6685
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,island-effects-coordinate_structure_constrain,0.711
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,local_attractor-in_question_with_au,0.901
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,npi_licensing-matrix_question,0.762
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,npi_licensing-only_npi_licensor,0.7055
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,quantifiers-existential_there,0.9755
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,quantifiers-superlative,0.8815
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,overall,0.7936304347826086
