model,phenomenon,accuracy
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,agreement_determiner_noun-across_1_adjective,0.7955
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,agreement_determiner_noun-between_neighbors,0.8365
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,agreement_subject_verb-across_prepositional_phrase,0.5575
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,agreement_subject_verb-across_relative_clause,0.595
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,agreement_subject_verb-in_question_with_au,0.6985
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,agreement_subject_verb-in_simple_question,0.846
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,anaphor_agreement-pronoun_gender,0.7605
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,argument_structure-dropped_argumen,0.7925
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,argument_structure-swapped_arguments,0.98
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,argument_structure-transitive,0.625
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,binding-principle_a,0.6775
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,case-subjective_pronoun,0.9625
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,ellipsis-n_bar,0.356
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,filler-gap-wh_question_objec,0.833
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,filler-gap-wh_question_subjec,0.9375
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,irregular-verb,0.777
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,island-effects-adjunct_island,0.7625
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,island-effects-coordinate_structure_constrain,0.7565
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,local_attractor-in_question_with_au,0.958
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,npi_licensing-matrix_question,0.638
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,npi_licensing-only_npi_licensor,0.5655
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,quantifiers-existential_there,0.903
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,quantifiers-superlative,0.7395
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,overall,0.7544999999999998
