model,phenomenon,accuracy
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,agreement_determiner_noun-across_1_adjective,0.822
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,agreement_determiner_noun-between_neighbors,0.8565
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,agreement_subject_verb-across_prepositional_phrase,0.5315
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,agreement_subject_verb-across_relative_clause,0.573
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,agreement_subject_verb-in_question_with_au,0.782
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,agreement_subject_verb-in_simple_question,0.8625
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,anaphor_agreement-pronoun_gender,0.751
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,argument_structure-dropped_argumen,0.8095
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,argument_structure-swapped_arguments,0.958
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,argument_structure-transitive,0.6485
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,binding-principle_a,0.767
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,case-subjective_pronoun,0.995
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,ellipsis-n_bar,0.554
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,filler-gap-wh_question_objec,0.921
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,filler-gap-wh_question_subjec,0.9145
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,irregular-verb,0.781
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,island-effects-adjunct_island,0.7725
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,island-effects-coordinate_structure_constrain,0.6935
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,local_attractor-in_question_with_au,0.971
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,npi_licensing-matrix_question,0.6515
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,npi_licensing-only_npi_licensor,0.827
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,quantifiers-existential_there,0.966
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,quantifiers-superlative,0.556
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,overall,0.7810652173913045
