model,phenomenon,accuracy
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,agreement_determiner_noun-across_1_adjective,0.839
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,agreement_determiner_noun-between_neighbors,0.8575
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,agreement_subject_verb-across_prepositional_phrase,0.556
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,agreement_subject_verb-across_relative_clause,0.5925
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,agreement_subject_verb-in_question_with_au,0.655
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,agreement_subject_verb-in_simple_question,0.826
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,anaphor_agreement-pronoun_gender,0.774
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,argument_structure-dropped_argumen,0.7855
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,argument_structure-swapped_arguments,0.9825
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,argument_structure-transitive,0.6035
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,binding-principle_a,0.7855
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,case-subjective_pronoun,0.9975
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,ellipsis-n_bar,0.475
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,filler-gap-wh_question_objec,0.8805
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,filler-gap-wh_question_subjec,0.925
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,irregular-verb,0.785
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,island-effects-adjunct_island,0.589
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,island-effects-coordinate_structure_constrain,0.807
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,local_attractor-in_question_with_au,0.939
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,npi_licensing-matrix_question,0.796
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,npi_licensing-only_npi_licensor,0.498
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,quantifiers-existential_there,0.9675
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,quantifiers-superlative,0.745
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,overall,0.767891304347826
