model,phenomenon,accuracy
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,agreement_determiner_noun-across_1_adjective,0.836
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,agreement_determiner_noun-between_neighbors,0.8105
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,agreement_subject_verb-across_prepositional_phrase,0.5945
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,agreement_subject_verb-across_relative_clause,0.5835
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,agreement_subject_verb-in_question_with_au,0.7695
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,agreement_subject_verb-in_simple_question,0.917
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,anaphor_agreement-pronoun_gender,0.7855
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,argument_structure-dropped_argumen,0.8355
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,argument_structure-swapped_arguments,0.9505
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,argument_structure-transitive,0.5945
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,binding-principle_a,0.6665
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,case-subjective_pronoun,0.9685
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,ellipsis-n_bar,0.501
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,filler-gap-wh_question_objec,0.851
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,filler-gap-wh_question_subjec,0.8815
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,irregular-verb,0.8025
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,island-effects-adjunct_island,0.6615
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,island-effects-coordinate_structure_constrain,0.773
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,local_attractor-in_question_with_au,0.936
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,npi_licensing-matrix_question,0.785
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,npi_licensing-only_npi_licensor,0.8145
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,quantifiers-existential_there,0.91
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,quantifiers-superlative,0.5885
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_1e-3-seed_1024,overall,0.7746304347826086
