model,phenomenon,accuracy
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1024,agreement_determiner_noun-across_1_adjective,0.8385
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1024,agreement_determiner_noun-between_neighbors,0.876
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1024,agreement_subject_verb-across_prepositional_phrase,0.596
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1024,agreement_subject_verb-across_relative_clause,0.601
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1024,agreement_subject_verb-in_question_with_au,0.78
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1024,agreement_subject_verb-in_simple_question,0.892
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1024,anaphor_agreement-pronoun_gender,0.7735
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1024,argument_structure-dropped_argumen,0.69
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1024,argument_structure-swapped_arguments,0.9805
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1024,argument_structure-transitive,0.618
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1024,binding-principle_a,0.7545
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1024,case-subjective_pronoun,0.991
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1024,ellipsis-n_bar,0.485
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1024,filler-gap-wh_question_objec,0.9065
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1024,filler-gap-wh_question_subjec,0.961
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1024,irregular-verb,0.773
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1024,island-effects-adjunct_island,0.672
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1024,island-effects-coordinate_structure_constrain,0.7285
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1024,local_attractor-in_question_with_au,0.9325
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1024,npi_licensing-matrix_question,0.7835
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1024,npi_licensing-only_npi_licensor,0.5115
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1024,quantifiers-existential_there,0.973
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1024,quantifiers-superlative,0.82
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1024,overall,0.779891304347826
