model,phenomenon,accuracy
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,agreement_determiner_noun-across_1_adjective,0.8375
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,agreement_determiner_noun-between_neighbors,0.8705
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,agreement_subject_verb-across_prepositional_phrase,0.5155
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,agreement_subject_verb-across_relative_clause,0.57
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,agreement_subject_verb-in_question_with_au,0.664
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,agreement_subject_verb-in_simple_question,0.7725
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,anaphor_agreement-pronoun_gender,0.6945
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,argument_structure-dropped_argumen,0.7565
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,argument_structure-swapped_arguments,0.9805
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,argument_structure-transitive,0.624
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,binding-principle_a,0.5725
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,case-subjective_pronoun,0.981
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,ellipsis-n_bar,0.474
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,filler-gap-wh_question_objec,0.8575
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,filler-gap-wh_question_subjec,0.883
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,irregular-verb,0.745
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,island-effects-adjunct_island,0.583
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,island-effects-coordinate_structure_constrain,0.777
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,local_attractor-in_question_with_au,0.9525
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,npi_licensing-matrix_question,0.514
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,npi_licensing-only_npi_licensor,0.6915
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,quantifiers-existential_there,0.958
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,quantifiers-superlative,0.5815
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_256-inter_1024-lr_3e-3-seed_1024,overall,0.7328695652173912
