model,phenomenon,accuracy
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,agreement_determiner_noun-across_1_adjective,0.7735
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,agreement_determiner_noun-between_neighbors,0.88
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,agreement_subject_verb-across_prepositional_phrase,0.5775
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,agreement_subject_verb-across_relative_clause,0.6065
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,agreement_subject_verb-in_question_with_au,0.7075
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,agreement_subject_verb-in_simple_question,0.8835
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,anaphor_agreement-pronoun_gender,0.8145
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,argument_structure-dropped_argumen,0.8155
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,argument_structure-swapped_arguments,0.9855
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,argument_structure-transitive,0.645
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,binding-principle_a,0.7895
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,case-subjective_pronoun,0.993
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,ellipsis-n_bar,0.486
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,filler-gap-wh_question_objec,0.786
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,filler-gap-wh_question_subjec,0.8705
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,irregular-verb,0.768
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,island-effects-adjunct_island,0.6545
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,island-effects-coordinate_structure_constrain,0.6565
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,local_attractor-in_question_with_au,0.959
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,npi_licensing-matrix_question,0.865
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,npi_licensing-only_npi_licensor,0.7425
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,quantifiers-existential_there,0.9745
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,quantifiers-superlative,0.5925
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,overall,0.7750652173913043
