model,phenomenon,accuracy
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,agreement_determiner_noun-across_1_adjective,0.858
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,agreement_determiner_noun-between_neighbors,0.829
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,agreement_subject_verb-across_prepositional_phrase,0.5645
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,agreement_subject_verb-across_relative_clause,0.6005
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,agreement_subject_verb-in_question_with_au,0.73
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,agreement_subject_verb-in_simple_question,0.8
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,anaphor_agreement-pronoun_gender,0.715
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,argument_structure-dropped_argumen,0.822
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,argument_structure-swapped_arguments,0.9665
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,argument_structure-transitive,0.5795
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,binding-principle_a,0.553
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,case-subjective_pronoun,0.9275
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,ellipsis-n_bar,0.446
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,filler-gap-wh_question_objec,0.881
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,filler-gap-wh_question_subjec,0.8235
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,irregular-verb,0.7465
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,island-effects-adjunct_island,0.662
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,island-effects-coordinate_structure_constrain,0.65
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,local_attractor-in_question_with_au,0.929
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,npi_licensing-matrix_question,0.7535
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,npi_licensing-only_npi_licensor,0.5905
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,quantifiers-existential_there,0.91
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,quantifiers-superlative,0.522
models/smolm-aochildes-vocab_16384-layers_8-attn_8-hidden_512-inter_2048-lr_1e-4-seed_1024,overall,0.7330217391304348
