model,phenomenon,accuracy
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,agreement_determiner_noun-across_1_adjective,0.8365
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,agreement_determiner_noun-between_neighbors,0.815
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,agreement_subject_verb-across_prepositional_phrase,0.5605
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,agreement_subject_verb-across_relative_clause,0.596
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,agreement_subject_verb-in_question_with_au,0.728
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,agreement_subject_verb-in_simple_question,0.8735
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,anaphor_agreement-pronoun_gender,0.8365
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,argument_structure-dropped_argumen,0.8285
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,argument_structure-swapped_arguments,0.976
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,argument_structure-transitive,0.5805
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,binding-principle_a,0.7915
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,case-subjective_pronoun,0.998
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,ellipsis-n_bar,0.464
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,filler-gap-wh_question_objec,0.9005
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,filler-gap-wh_question_subjec,0.9435
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,irregular-verb,0.8395
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,island-effects-adjunct_island,0.698
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,island-effects-coordinate_structure_constrain,0.7435
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,local_attractor-in_question_with_au,0.921
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,npi_licensing-matrix_question,0.775
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,npi_licensing-only_npi_licensor,0.6505
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,quantifiers-existential_there,0.982
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,quantifiers-superlative,0.787
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-3-seed_1024,overall,0.7880434782608695
