model,phenomenon,accuracy
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,agreement_determiner_noun-across_1_adjective,0.815
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,agreement_determiner_noun-between_neighbors,0.8305
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,agreement_subject_verb-across_prepositional_phrase,0.5395
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,agreement_subject_verb-across_relative_clause,0.57
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,agreement_subject_verb-in_question_with_au,0.672
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,agreement_subject_verb-in_simple_question,0.8635
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,anaphor_agreement-pronoun_gender,0.773
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,argument_structure-dropped_argumen,0.811
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,argument_structure-swapped_arguments,0.954
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,argument_structure-transitive,0.588
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,binding-principle_a,0.756
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,case-subjective_pronoun,0.9805
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,ellipsis-n_bar,0.338
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,filler-gap-wh_question_objec,0.858
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,filler-gap-wh_question_subjec,0.918
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,irregular-verb,0.7935
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,island-effects-adjunct_island,0.698
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,island-effects-coordinate_structure_constrain,0.7085
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,local_attractor-in_question_with_au,0.939
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,npi_licensing-matrix_question,0.8375
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,npi_licensing-only_npi_licensor,0.6965
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,quantifiers-existential_there,0.899
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,quantifiers-superlative,0.474
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-4-seed_1024,overall,0.7527391304347827
