model,phenomenon,accuracy
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,agreement_determiner_noun-across_1_adjective,0.8095
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,agreement_determiner_noun-between_neighbors,0.8335
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,agreement_subject_verb-across_prepositional_phrase,0.547
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,agreement_subject_verb-across_relative_clause,0.6375
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,agreement_subject_verb-in_question_with_au,0.7705
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,agreement_subject_verb-in_simple_question,0.849
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,anaphor_agreement-pronoun_gender,0.8385
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,argument_structure-dropped_argumen,0.784
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,argument_structure-swapped_arguments,0.9325
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,argument_structure-transitive,0.6235
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,binding-principle_a,0.639
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,case-subjective_pronoun,0.947
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,ellipsis-n_bar,0.4595
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,filler-gap-wh_question_objec,0.891
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,filler-gap-wh_question_subjec,0.9345
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,irregular-verb,0.8075
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,island-effects-adjunct_island,0.57
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,island-effects-coordinate_structure_constrain,0.7665
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,local_attractor-in_question_with_au,0.8975
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,npi_licensing-matrix_question,0.78
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,npi_licensing-only_npi_licensor,0.6925
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,quantifiers-existential_there,0.952
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,quantifiers-superlative,0.652
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_3e-4-seed_1024,overall,0.7658478260869565
