model,phenomenon,accuracy
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,agreement_determiner_noun-across_1_adjective,0.772
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,agreement_determiner_noun-between_neighbors,0.7925
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,agreement_subject_verb-across_prepositional_phrase,0.558
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,agreement_subject_verb-across_relative_clause,0.621
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,agreement_subject_verb-in_question_with_au,0.7665
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,agreement_subject_verb-in_simple_question,0.8145
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,anaphor_agreement-pronoun_gender,0.896
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,argument_structure-dropped_argumen,0.8205
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,argument_structure-swapped_arguments,0.986
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,argument_structure-transitive,0.5735
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,binding-principle_a,0.6565
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,case-subjective_pronoun,0.9955
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,ellipsis-n_bar,0.307
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,filler-gap-wh_question_objec,0.8905
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,filler-gap-wh_question_subjec,0.8905
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,irregular-verb,0.6895
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,island-effects-adjunct_island,0.7195
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,island-effects-coordinate_structure_constrain,0.664
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,local_attractor-in_question_with_au,0.9055
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,npi_licensing-matrix_question,0.886
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,npi_licensing-only_npi_licensor,0.537
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,quantifiers-existential_there,0.9725
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,quantifiers-superlative,0.7425
models/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_512-inter_2048-lr_3e-4-seed_1024,overall,0.759
