model,phenomenon,accuracy
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1102,agreement_determiner_noun-across_1_adjective,0.826
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1102,agreement_determiner_noun-between_neighbors,0.836
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1102,agreement_subject_verb-across_prepositional_phrase,0.554
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1102,agreement_subject_verb-across_relative_clause,0.6305
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1102,agreement_subject_verb-in_question_with_au,0.7125
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1102,agreement_subject_verb-in_simple_question,0.8735
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1102,anaphor_agreement-pronoun_gender,0.794
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1102,argument_structure-dropped_argumen,0.8255
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1102,argument_structure-swapped_arguments,0.9695
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1102,argument_structure-transitive,0.599
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1102,binding-principle_a,0.74
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1102,case-subjective_pronoun,0.98
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1102,ellipsis-n_bar,0.5025
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1102,filler-gap-wh_question_objec,0.9245
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1102,filler-gap-wh_question_subjec,0.8955
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1102,irregular-verb,0.8095
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1102,island-effects-adjunct_island,0.6535
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1102,island-effects-coordinate_structure_constrain,0.7885
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1102,local_attractor-in_question_with_au,0.891
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1102,npi_licensing-matrix_question,0.739
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1102,npi_licensing-only_npi_licensor,0.8035
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1102,quantifiers-existential_there,0.9765
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1102,quantifiers-superlative,0.7585
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_1102,overall,0.7862173913043481
