model,phenomenon,accuracy
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_42,agreement_determiner_noun-across_1_adjective,0.837
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_42,agreement_determiner_noun-between_neighbors,0.8285
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_42,agreement_subject_verb-across_prepositional_phrase,0.561
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_42,agreement_subject_verb-across_relative_clause,0.6375
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_42,agreement_subject_verb-in_question_with_au,0.7635
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_42,agreement_subject_verb-in_simple_question,0.8765
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_42,anaphor_agreement-pronoun_gender,0.8075
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_42,argument_structure-dropped_argumen,0.8025
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_42,argument_structure-swapped_arguments,0.989
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_42,argument_structure-transitive,0.5815
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_42,binding-principle_a,0.777
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_42,case-subjective_pronoun,0.9995
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_42,ellipsis-n_bar,0.4985
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_42,filler-gap-wh_question_objec,0.9135
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_42,filler-gap-wh_question_subjec,0.847
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_42,irregular-verb,0.806
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_42,island-effects-adjunct_island,0.5505
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_42,island-effects-coordinate_structure_constrain,0.7255
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_42,local_attractor-in_question_with_au,0.8815
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_42,npi_licensing-matrix_question,0.985
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_42,npi_licensing-only_npi_licensor,0.6385
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_42,quantifiers-existential_there,0.965
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_42,quantifiers-superlative,0.783
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_42,overall,0.785
