model,phenomenon,accuracy
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_7,agreement_determiner_noun-across_1_adjective,0.8195
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_7,agreement_determiner_noun-between_neighbors,0.832
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_7,agreement_subject_verb-across_prepositional_phrase,0.555
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_7,agreement_subject_verb-across_relative_clause,0.608
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_7,agreement_subject_verb-in_question_with_au,0.748
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_7,agreement_subject_verb-in_simple_question,0.8935
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_7,anaphor_agreement-pronoun_gender,0.79
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_7,argument_structure-dropped_argumen,0.8135
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_7,argument_structure-swapped_arguments,0.966
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_7,argument_structure-transitive,0.5965
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_7,binding-principle_a,0.6655
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_7,case-subjective_pronoun,0.9845
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_7,ellipsis-n_bar,0.4
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_7,filler-gap-wh_question_objec,0.8015
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_7,filler-gap-wh_question_subjec,0.9305
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_7,irregular-verb,0.814
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_7,island-effects-adjunct_island,0.6785
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_7,island-effects-coordinate_structure_constrain,0.571
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_7,local_attractor-in_question_with_au,0.881
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_7,npi_licensing-matrix_question,0.779
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_7,npi_licensing-only_npi_licensor,0.4275
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_7,quantifiers-existential_there,0.9695
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_7,quantifiers-superlative,0.861
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_7,overall,0.7558913043478261
