model,phenomenon,accuracy
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_210,agreement_determiner_noun-across_1_adjective,0.85
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_210,agreement_determiner_noun-between_neighbors,0.828
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_210,agreement_subject_verb-across_prepositional_phrase,0.562
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_210,agreement_subject_verb-across_relative_clause,0.62
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_210,agreement_subject_verb-in_question_with_au,0.7625
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_210,agreement_subject_verb-in_simple_question,0.8395
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_210,anaphor_agreement-pronoun_gender,0.7655
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_210,argument_structure-dropped_argumen,0.7995
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_210,argument_structure-swapped_arguments,0.9865
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_210,argument_structure-transitive,0.5695
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_210,binding-principle_a,0.685
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_210,case-subjective_pronoun,0.9895
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_210,ellipsis-n_bar,0.471
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_210,filler-gap-wh_question_objec,0.8475
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_210,filler-gap-wh_question_subjec,0.9435
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_210,irregular-verb,0.7935
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_210,island-effects-adjunct_island,0.576
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_210,island-effects-coordinate_structure_constrain,0.7635
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_210,local_attractor-in_question_with_au,0.8755
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_210,npi_licensing-matrix_question,0.786
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_210,npi_licensing-only_npi_licensor,0.691
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_210,quantifiers-existential_there,0.965
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_210,quantifiers-superlative,0.839
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_210,overall,0.774304347826087
