model,phenomenon,accuracy
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_2409,agreement_determiner_noun-across_1_adjective,0.8455
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_2409,agreement_determiner_noun-between_neighbors,0.8535
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_2409,agreement_subject_verb-across_prepositional_phrase,0.569
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_2409,agreement_subject_verb-across_relative_clause,0.624
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_2409,agreement_subject_verb-in_question_with_au,0.7495
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_2409,agreement_subject_verb-in_simple_question,0.8715
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_2409,anaphor_agreement-pronoun_gender,0.835
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_2409,argument_structure-dropped_argumen,0.825
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_2409,argument_structure-swapped_arguments,0.99
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_2409,argument_structure-transitive,0.59
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_2409,binding-principle_a,0.7715
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_2409,case-subjective_pronoun,0.995
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_2409,ellipsis-n_bar,0.5015
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_2409,filler-gap-wh_question_objec,0.8235
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_2409,filler-gap-wh_question_subjec,0.8925
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_2409,irregular-verb,0.824
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_2409,island-effects-adjunct_island,0.6375
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_2409,island-effects-coordinate_structure_constrain,0.7195
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_2409,local_attractor-in_question_with_au,0.876
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_2409,npi_licensing-matrix_question,0.682
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_2409,npi_licensing-only_npi_licensor,0.6335
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_2409,quantifiers-existential_there,0.979
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_2409,quantifiers-superlative,0.5835
models/final/smolm-aochildes-vocab_8192-layers_8-attn_8-hidden_256-inter_1024-lr_1e-3-seed_2409,overall,0.7683478260869565
