item_id,model_state,do,pp
0,initial,-7.98617696762085,-6.474334716796875
1,initial,-7.688828945159912,-7.029074192047119
2,initial,-7.288255214691162,-6.384142875671387
3,initial,-9.155134201049805,-7.978416442871094
4,initial,-8.02621078491211,-5.735461711883545
5,initial,-7.2636847496032715,-6.702541351318359
6,initial,-9.240128517150879,-7.6976189613342285
7,initial,-7.595269203186035,-6.517320156097412
8,initial,-7.411588191986084,-6.188015937805176
9,initial,-7.288255214691162,-6.384142875671387
10,initial,-8.571097373962402,-7.356788635253906
11,initial,-6.812387466430664,-6.190993785858154
12,initial,-8.202482223510742,-6.5272698402404785
13,initial,-8.411429405212402,-6.533889293670654
14,initial,-7.411588191986084,-6.188015937805176
15,initial,-8.711276054382324,-7.4764275550842285
16,initial,-7.607386112213135,-6.822947025299072
17,initial,-7.9543843269348145,-6.884676456451416
18,initial,-10.044185638427734,-8.570646286010742
19,initial,-7.094431400299072,-6.6775994300842285
20,initial,-7.167875289916992,-6.614156246185303
21,initial,-7.768004894256592,-6.832697868347168
22,initial,-8.900463104248047,-7.70123291015625
23,initial,-7.85603666305542,-7.110869407653809
24,initial,-8.367558479309082,-6.870445728302002
25,initial,-7.85603666305542,-7.110869407653809
26,initial,-9.428628921508789,-8.417149543762207
27,initial,-9.293784141540527,-8.068663597106934
28,initial,-7.446111679077148,-6.887589454650879
29,initial,-8.911849975585938,-7.732482433319092
30,initial,-7.989858627319336,-7.261475563049316
31,initial,-7.663268089294434,-6.664708614349365
32,initial,-8.900463104248047,-7.701233386993408
33,initial,-7.663269996643066,-6.664708614349365
34,initial,-7.438529968261719,-6.94605016708374
35,initial,-8.863673210144043,-7.8533034324646
36,initial,-7.44611120223999,-6.887588977813721
37,initial,-7.663269996643066,-6.664708614349365
38,initial,-7.501564025878906,-6.7236199378967285
39,initial,-7.432062149047852,-6.697090148925781
40,initial,-7.337561130523682,-6.898439407348633
41,initial,-7.252994537353516,-6.595409870147705
42,initial,-6.939763069152832,-6.505965232849121
43,initial,-8.704591751098633,-7.820245265960693
44,initial,-8.396868705749512,-6.993494987487793
45,initial,-7.594749450683594,-6.651615619659424
46,initial,-7.53527307510376,-6.5399627685546875
47,initial,-7.713620662689209,-7.047458648681641
48,initial,-8.665011405944824,-8.090361595153809
49,initial,-6.763245582580566,-6.612948894500732
50,initial,-8.152571678161621,-6.980450630187988
51,initial,-8.2034273147583,-7.7828688621521
52,initial,-7.70562744140625,-7.054371356964111
53,initial,-7.36767053604126,-6.769444465637207
54,initial,-7.806212425231934,-6.996055603027344
55,initial,-8.051652908325195,-6.902099132537842
56,initial,-6.882706642150879,-6.503955841064453
57,initial,-6.422908782958984,-6.06693696975708
58,initial,-8.315958976745605,-6.715574741363525
59,initial,-8.135590553283691,-6.953512191772461
60,initial,-8.746439933776855,-7.402256488800049
61,initial,-9.667655944824219,-7.981361389160156
62,initial,-10.570290565490723,-9.24846363067627
63,initial,-10.243911743164062,-8.211621284484863
64,initial,-8.218925476074219,-7.3439812660217285
65,initial,-8.003209114074707,-7.237305641174316
66,initial,-8.114334106445312,-7.465670585632324
67,initial,-10.972251892089844,-9.196627616882324
68,initial,-9.27491569519043,-7.604909420013428
69,initial,-8.865559577941895,-7.062049388885498
70,initial,-7.84412956237793,-7.6693339347839355
71,initial,-9.398083686828613,-8.952022552490234
72,initial,-7.173046588897705,-6.299231052398682
73,initial,-7.743058681488037,-7.030076026916504
74,initial,-7.004411220550537,-6.539277076721191
75,initial,-9.473520278930664,-7.643717288970947
76,initial,-8.71745777130127,-7.223280906677246
77,initial,-9.481866836547852,-8.160516738891602
78,initial,-8.024003028869629,-6.942230701446533
79,initial,-8.026516914367676,-7.070303916931152
80,initial,-6.085915565490723,-5.432142734527588
81,initial,-6.189448833465576,-5.31263542175293
82,initial,-8.291226387023926,-7.223604202270508
83,initial,-6.935222625732422,-6.324728012084961
84,initial,-6.827078342437744,-6.035097122192383
85,initial,-8.149014472961426,-6.829890727996826
86,initial,-8.239959716796875,-7.12052059173584
87,initial,-7.072883605957031,-6.100003719329834
88,initial,-7.057541847229004,-6.008715629577637
89,initial,-5.874242782592773,-5.192734241485596
90,initial,-6.9945573806762695,-5.845885753631592
91,initial,-9.441186904907227,-8.116028785705566
92,initial,-6.26030158996582,-5.332637786865234
93,initial,-6.792596340179443,-6.564633846282959
94,initial,-7.027165412902832,-6.338446140289307
95,initial,-7.172181606292725,-6.21013069152832
96,initial,-6.368128299713135,-5.828037738800049
97,initial,-6.9084272384643555,-6.139974594116211
98,initial,-8.204115867614746,-7.234869480133057
99,initial,-6.257894039154053,-5.322566032409668
100,initial,-7.584667682647705,-6.036655902862549
101,initial,-7.589303016662598,-6.364952087402344
102,initial,-8.718286514282227,-7.432363986968994
103,initial,-7.869157314300537,-6.373077869415283
104,initial,-7.869157314300537,-6.373077869415283
105,initial,-7.205986499786377,-6.167118549346924
106,initial,-8.334616661071777,-7.017355918884277
107,initial,-7.9359869956970215,-6.493484020233154
108,initial,-6.599759578704834,-5.919954299926758
109,initial,-9.28093147277832,-8.25806713104248
110,initial,-8.772709846496582,-7.718913555145264
111,initial,-7.31795072555542,-6.225613594055176
112,initial,-8.985222816467285,-7.470671653747559
113,initial,-8.74289321899414,-7.35007381439209
114,initial,-7.248669624328613,-6.24019193649292
115,initial,-7.6587653160095215,-6.759413719177246
116,initial,-8.596075057983398,-6.934820652008057
117,initial,-7.797998905181885,-6.480630397796631
118,initial,-8.334616661071777,-7.017355918884277
119,initial,-8.599129676818848,-7.064401149749756
120,initial,-7.7545294761657715,-6.434413433074951
121,initial,-7.503590106964111,-6.123779773712158
122,initial,-7.947065830230713,-6.839510440826416
123,initial,-7.491168022155762,-5.90494966506958
124,initial,-7.52396297454834,-6.522209644317627
125,initial,-9.324533462524414,-8.170890808105469
126,initial,-8.968690872192383,-8.007637977600098
127,initial,-8.45075511932373,-7.047843933105469
128,initial,-8.217329978942871,-6.71204137802124
129,initial,-9.845637321472168,-8.006794929504395
130,initial,-7.749131679534912,-5.808269023895264
131,initial,-7.185296535491943,-6.364088535308838
132,initial,-7.428381443023682,-6.396487236022949
133,initial,-9.079154968261719,-7.763826847076416
134,initial,-9.845637321472168,-8.006794929504395
135,initial,-7.5409088134765625,-6.329521656036377
136,initial,-7.6604323387146,-6.2761993408203125
137,initial,-7.5409088134765625,-6.329521656036377
138,initial,-9.324533462524414,-8.170890808105469
139,initial,-7.7296223640441895,-6.828157901763916
140,initial,-7.051462650299072,-6.371160984039307
141,initial,-7.71222448348999,-6.620720863342285
142,initial,-7.592618942260742,-6.979212760925293
143,initial,-6.817374229431152,-6.0163679122924805
144,initial,-8.578670501708984,-7.766068458557129
145,initial,-7.802796840667725,-6.205710411071777
