verb,sentence
addressed,james addressed us a toy.
addressed,they addressed jessica a spoon.
addressed,he addressed cinderella a present.
addressed,claire addressed them some money.
addressed,brian addressed daddy some flowers.
addressed,jill addressed the dog some cookies.
addressed,paul addressed me a lot.
addressed,you addressed a dog the gift.
addressed,I addressed you the book.
addressed,lucy addressed jennifer the box.
addressed,santa addressed a cat the scissors.
addressed,emma addressed the cat a box.
addressed,ryan addressed teddy something.
addressed,felix addressed grandma the ball.
addressed,the doctor addressed mommy a ball.
addressed,charlie addressed jack some milk.
addressed,she addressed daddy some food.
addressed,nina addressed him an egg.
addressed,tommy addressed john it.
addressed,emily addressed grandpa a book.
announced,brian announced grandma a book.
announced,I announced you a present.
announced,tommy announced us a spoon.
announced,nina announced a cat a ball.
announced,paul announced them the scissors.
announced,felix announced the dog some flowers.
announced,he announced daddy some milk.
announced,santa announced cinderella something.
announced,claire announced john some cookies.
announced,emma announced me the ball.
announced,they announced a dog an egg.
announced,lucy announced teddy it.
announced,james announced mommy a toy.
announced,she announced him some money.
announced,you announced the cat some food.
announced,the doctor announced grandpa the gift.
announced,jill announced jennifer a box.
announced,emily announced her the book.
announced,ryan announced jack a lot.
announced,charlie announced jessica the box.
delivered,nina delivered grandma some milk.
delivered,she delivered jennifer a book.
delivered,emma delivered a cat a toy.
delivered,paul delivered teddy a ball.
delivered,tommy delivered daddy a spoon.
delivered,you delivered us a lot.
delivered,charlie delivered her it.
delivered,he delivered you the box.
delivered,felix delivered jessica the scissors.
delivered,they delivered grandpa some flowers.
delivered,I delivered the dog the ball.
delivered,the doctor delivered them some cookies.
delivered,james delivered john a box.
delivered,ryan delivered him something.
delivered,santa delivered cinderella a present.
delivered,jill delivered jack the gift.
delivered,claire delivered the cat some money.
delivered,emily delivered me the book.
delivered,brian delivered a dog some food.
delivered,lucy delivered mommy an egg.
described,lucy described a dog some milk.
described,they described you a toy.
described,tommy described a cat a box.
described,jill described teddy some cookies.
described,santa described john some flowers.
described,the doctor described jennifer the box.
described,ryan described her the ball.
described,you described mommy some money.
described,nina described daddy a book.
described,he described the dog the book.
described,felix described jessica a ball.
described,james described him something.
described,claire described grandma it.
described,she described me the scissors.
described,charlie described jack a lot.
described,emma described the cat a spoon.
described,brian described us some food.
described,emily described them the gift.
described,paul described grandpa an egg.
described,I described cinderella a present.
dropped,I dropped jessica some milk.
dropped,they dropped a cat a box.
dropped,emma dropped daddy it.
dropped,charlie dropped them some flowers.
dropped,nina dropped mommy a present.
dropped,he dropped you some cookies.
dropped,you dropped grandma the gift.
dropped,ryan dropped the cat some food.
dropped,the doctor dropped grandpa a book.
dropped,felix dropped john the scissors.
dropped,brian dropped him a lot.
dropped,she dropped cinderella the ball.
dropped,paul dropped jack a toy.
dropped,tommy dropped teddy something.
dropped,jill dropped jennifer a ball.
dropped,santa dropped a dog some money.
dropped,lucy dropped me an egg.
dropped,james dropped us the book.
dropped,emily dropped the dog the box.
dropped,claire dropped her a spoon.
explained,tommy explained daddy a spoon.
explained,they explained john something.
explained,santa explained teddy some food.
explained,lucy explained cinderella the ball.
explained,I explained jessica a toy.
explained,the doctor explained mommy the scissors.
explained,jill explained grandpa the book.
explained,nina explained a cat a ball.
explained,emily explained the cat the box.
explained,charlie explained him a present.
explained,ryan explained me some flowers.
explained,claire explained her a lot.
explained,emma explained you some money.
explained,she explained a dog an egg.
explained,brian explained the dog a book.
explained,james explained us it.
explained,paul explained jennifer the gift.
explained,you explained jack some cookies.
explained,he explained them some milk.
explained,felix explained grandma a box.
introduced,felix introduced jack a book.
introduced,james introduced jennifer an egg.
introduced,santa introduced the dog the book.
introduced,emily introduced daddy some food.
introduced,nina introduced jessica the gift.
introduced,jill introduced a cat a spoon.
introduced,charlie introduced the cat the box.
introduced,the doctor introduced teddy a lot.
introduced,brian introduced her something.
introduced,paul introduced mommy a present.
introduced,lucy introduced john a box.
introduced,ryan introduced grandpa the scissors.
introduced,claire introduced them it.
introduced,you introduced a dog a ball.
introduced,he introduced cinderella some cookies.
introduced,emma introduced him a toy.
introduced,tommy introduced you some money.
introduced,I introduced us some milk.
introduced,she introduced grandma some flowers.
introduced,they introduced me the ball.
lifted,felix lifted him the ball.
lifted,they lifted a cat some money.
lifted,ryan lifted grandpa a book.
lifted,lucy lifted mommy a toy.
lifted,claire lifted a dog the gift.
lifted,tommy lifted them a present.
lifted,jill lifted the dog something.
lifted,he lifted john a lot.
lifted,charlie lifted grandma it.
lifted,nina lifted jack a spoon.
lifted,I lifted him a ball.
lifted,paul lifted cinderella the book.
lifted,james lifted daddy an egg.
lifted,she lifted the cat some milk.
lifted,brian lifted jessica some cookies.
lifted,you lifted teddy the box.
lifted,emma lifted jennifer some food.
lifted,emily lifted us the scissors.
lifted,the doctor lifted you some flowers.
lifted,santa lifted her a box.
mentioned,santa mentioned him the book.
