"phenomenon_string","phenomenon","subset"
"agreement_determiner_noun-across_1_adjective","Determiner Noun Agreement","across_1_adjective"
"agreement_determiner_noun-between_neighbors","Determiner Noun Agreement","between_neighbors"
"agreement_subject_verb-across_prepositional_phrase","Subject Verb Agreement","across_prepositional_phrase"
"agreement_subject_verb-across_relative_clause","Subject Verb Agreement","across_relative_clause"
"agreement_subject_verb-in_question_with_au","Subject Verb Agreement","in_question_with_au"
"agreement_subject_verb-in_simple_question","Subject Verb Agreement","in_simple_question"
"anaphor_agreement-pronoun_gender","Anaphor Agreement","pronoun_gender"
"argument_structure-dropped_argumen","Argument Structure","dropped_argumen"
"argument_structure-swapped_arguments","Argument Structure","swapped_arguments"
"argument_structure-transitive","Argument Structure", "transitive"
"binding-principle_a","Binding","principle_a"
"case-subjective_pronoun","Case", "subjective_pronoun"
"ellipsis-n_bar","Ellipsis","n_bar"
"filler-gap-wh_question_objec","Filler Gap","wh_question_objec"
"filler-gap-wh_question_subjec","Filler Gap","wh_question_subjec"
"irregular-verb","Irregular Verb","irregular-verb"
"island-effects-adjunct_island","Island Effects","adjunct_island"
"island-effects-coordinate_structure_constrain","Island Effects","coordinate_structure_constrain"
"local_attractor-in_question_with_au","Local Attractor","in_question_with_au"
"npi_licensing-matrix_question","NPI licensing","matrix_question"
"npi_licensing-only_npi_licensor","NPI licensing","only_npi_licensor"
"quantifiers-existential_there","Quantifiers","existential_there"
"quantifiers-superlative","Quantifiers","superlative"
"overall","Overall","overall"
