sentence,lemma,verb,verb_pos,theme,recipient,theme_pos,recipient_pos
come here give me kisses .,give,give,VB,kisses,me,NNS,PRP
give me kisses huh .,give,give,VB,kisses,me,NNS,PRP
aha is big bird giving you sugar ?,give,giving,VBG,sugar,you,NN,PRP
is big bird giving you sugar .,give,giving,VBG,sugar,you,NN,PRP
are you giving big bird a hug .,give,giving,VBG,hug,bird,NN,NNP
can you give him a are you shaking his hand ?,give,give,VB,shaking,him,VBG,PRP
can you give it sugar ?,give,give,VB,sugar,it,NN,PRP
can you give it some sugar ?,give,give,VB,sugar,it,NN,PRP
can you give it some sugar ?,give,give,VB,sugar,it,NN,PRP
yay you can give big bird a hug you can give big bird a hug .,give,give,VB,hug,bird,NN,NNP
you can give big bird wants a hug .,give,give,VB,wants,bird,VBZ,NNP
give him a big kiss .,give,give,VB,kiss,him,NN,PRP
give him a big kiss .,give,give,VB,kiss,him,NN,PRP
you can give him a big kiss .,give,give,VB,kiss,him,NN,PRP
are you give her kiss .,give,give,VB,kiss,her,NN,PRP
what what you saying ?,say,saying,VBG,what,what,WP,WP
what what you saying ?,say,saying,VBG,what,what,WP,WP
can you give the baby a hug ?,give,give,VB,hug,baby,NN,NN
you wanna give the baby a nice bath ?,give,give,VB,bath,baby,NN,NN
can you give us just a few more minutes ?,give,give,VB,minutes,us,NNS,PRP
give me a second .,give,give,VB,second,me,NN,PRP
give me a second before you knock them over .,give,give,VB,second,me,NN,PRP
should i give you a pat .,give,give,VB,pat,you,NN,PRP
let's make you a bowl of some food .,make,make,VB,bowl,you,NN,PRP
can you give the baby a kiss ?,give,give,VB,kiss,baby,NN,NN
give me some of that .,give,give,VB,some,me,DT,PRP
what are you telling us ?,tell,telling,VBG,us,what,PRP,WP
this old man he played one he played knickknack on my drum with a knickknack paddywack give a dog a bone this old man came rolling home .,give,give,VB,bone,dog,NN,NN
we could give you some milk foodies .,give,give,VB,foodies,you,NNS,PRP
you can sit and play yes and i'll even feed you more maybe .,feed,feed,VB,more,you,JJR,PRP
catherine are you bringing him the shapes please ?,bring,bringing,VBG,shapes,him,NNS,PRP
catherine could you find him some of the red sh squares though ?,find,find,VB,some,him,DT,PRP
let's see if i've made you something .,make,made,VBN,something,you,NN,PRP
he's trying to get your knee and give you a hug !,give,give,VB,hug,you,NN,PRP
is that what we'll tell them ?,tell,tell,VB,them,what,PRP,WP
give you a little more .,give,give,VB,more,you,JJR,PRP
give me a few more minutes okay ?,give,give,VB,minutes,me,NNS,PRP
i was just writing your brother a note .,write,writing,VBG,note,brother,NN,NN
give me five .,give,give,VB,five,me,CD,PRP
give me five .,give,give,VB,five,me,CD,PRP
give me five .,give,give,VB,five,me,CD,PRP
maybe in the too big clothes we can find you something .,find,find,VB,something,you,NN,PRP
can i give you that instead .,give,give,VB,that,you,DT,PRP
let's give this a .,give,give,VB,a,this,DT,DT
am i giving you kisses ?,give,giving,VBG,kisses,you,NNS,PRP
did mommy give you kisses ?,give,give,VB,kisses,you,NNS,PRP
but i gave you all these toys joseph .,give,gave,VBD,toys,you,NNS,PRP
let's give him a minute .,give,give,VB,minute,him,NN,PRP
let's see what she serves us joseph .,serve,serves,VBZ,us,what,PRP,WP
okay we'll give joseph one in his tub .,give,give,VB,one,joseph,CD,NNP
i gave you plums .,give,gave,VBD,plums,you,NNS,PRP
let's see if you've gotten sick again and if you are i'll give you some motrin .,give,give,VB,motrin,you,NN,PRP
just snapping you up one .,snap,snapping,VBG,one,you,NN,PRP
what're you showing me ?,show,showing,VBG,me,what,PRP,WP
oh yes give him a good chew .,give,give,VB,chew,him,NN,PRP
what are you telling me ?,tell,telling,VBG,me,what,PRP,WP
okay give him a little space .,give,give,VB,space,him,NN,PRP
give him a little space .,give,give,VB,space,him,NN,PRP
you can't no you can't all show him something at once .,show,show,VB,something,him,NN,PRP
he told them the loud noise or he told them what it was ?,tell,told,VBD,noise,them,NN,PRP
catherine what did i ask you ?,ask,ask,VB,you,what,PRP,WP
you take that one and i'll give theo some stuff on this one .,give,give,VB,stuff,theo,NN,NNP
with a knickknack paddywack give a dog a bone this old man came rolling home .,give,give,VB,bone,dog,NN,NN
i'll show you something funny .,show,show,VB,something,you,NN,PRP
what were you telling me ?,tell,telling,VBG,me,what,PRP,WP
thomas did you give daddy your socks yes .,give,give,VB,socks,daddy,NNS,NNP
baby give you kisses hm .,give,give,VBP,kisses,you,NNS,PRP
baby give you kisses hm .,give,give,VBP,kisses,you,NNS,PRP
momma give big bird a hug .,give,give,VBP,hug,bird,NN,NNP
do you wanna give big bird a hug ?,give,give,VB,hug,bird,NN,NNP
momma read you a book ?,read,read,VBD,book,you,NN,PRP
big bird's gonna give you a kiss ?,give,give,VB,kiss,you,NN,PRP
give him a kiss .,give,give,VB,kiss,him,NN,PRP
can you give him a kiss ?,give,give,VB,kiss,him,NN,PRP
you gonna tell it something .,tell,tell,VB,something,it,NN,PRP
can you tell him something ?,tell,tell,VB,something,him,NN,PRP
say ruff ruff !,say,say,VB,ruff,ruff,NNP,NNP
you're gonna give it a try though .,give,give,VB,try,it,NN,PRP
you gonna give him a taste .,give,give,VB,taste,him,NN,PRP
give child a hug .,give,give,VB,hug,child,NN,NN
tell me that again more slowly and maybe we'll get it .,tell,tell,VB,that,me,DT,PRP
give me your sleeve .,give,give,VB,sleeve,me,NN,PRP
give that birdie kisses ?,give,give,VB,kisses,birdie,NNS,NN
that birdie's giving you kisses .,give,giving,VBG,kisses,you,NNS,PRP
what you telling momma ?,tell,telling,VBG,momma,what,NN,WP
tell mother something ?,tell,tell,VB,something,mother,NN,NN
you're not gonna tell me anything .,tell,tell,VB,anything,me,NN,PRP
tell mother the stuff .,tell,tell,VB,stuff,mother,NN,NN
mister cow gives us milk .,give,gives,VBZ,milk,us,NN,PRP
here i'll show you one that goes like that ready look .,show,show,VB,one,you,NN,PRP
and now you can pull her pants the rest of the way up over her bum .,pull,pull,VB,rest,pants,NN,NNS
joseph please give me back the microphone .,give,give,VB,microphone,me,NN,PRP
well those are your two choices so what do you want the shorts or the dress ?,want,want,VB,shorts,what,NNS,WP
then you can pick out a ponytail and if you bring me your comb i can put your ponytail in .,bring,bring,VBP,comb,me,NN,PRP
wanna give me hugs ?,give,give,VB,hugs,me,NNS,PRP
can you give me some hugs ?,give,give,VB,hugs,me,NNS,PRP
are you my sleepiest should we give you a little drink and then you can have some sleep ?,give,give,VB,drink,you,NN,PRP
wanna give it t .,give,give,VB,t,it,NN,PRP
now let's see what can we feed you .,feed,feed,VB,you,what,PRP,WP
feed you some of this .,feed,feed,VB,some,you,DT,PRP
what are you bringing them up catherine ?,bring,bringing,VBG,them,what,PRP,WP
did i give you kisses ?,give,give,VB,kisses,you,NNS,PRP
oh thank you for giving me that ?,give,giving,VBG,that,me,DT,PRP
can you give me the cup ?,give,give,VB,cup,me,NN,PRP
can you give me the cup please ?,give,give,VB,cup,me,NN,PRP
how about the triangle you wanna give mommy the triangle ?,give,give,VB,triangle,mommy,NN,NN
you gonna give me the triangle ?,give,give,VB,triangle,me,NN,PRP
good job joseph can you give me the star ?,give,give,VB,star,me,NN,PRP
oh you're gonna give me that one ?,give,give,VB,one,me,NN,PRP
give mommy the circle joseph .,give,give,VB,circle,mommy,NN,NN
oh you'll give me this triangle .,give,give,VB,triangle,me,NN,PRP
