verb,sentence
batted,they batted her some food.
batted,emily batted grandpa a box.
batted,I batted the dog a book.
batted,tommy batted john an egg.
batted,claire batted him the box.
batted,you batted them some cookies.
batted,the doctor batted a cat the scissors.
batted,felix batted jack it.
batted,emma batted daddy some milk.
batted,jill batted me a lot.
batted,lucy batted us the gift.
batted,charlie batted teddy the ball.
batted,paul batted you a present.
batted,santa batted jennifer a toy.
batted,he batted cinderella a spoon.
batted,james batted grandma the book.
batted,ryan batted the cat some money.
batted,she batted a dog a ball.
batted,brian batted jessica some flowers.
batted,nina batted mommy something.
bounced,you bounced mommy some money.
bounced,felix bounced john a present.
bounced,santa bounced you a ball.
bounced,brian bounced jack some food.
bounced,charlie bounced teddy a toy.
bounced,emily bounced him a lot.
bounced,lucy bounced jennifer the box.
bounced,jill bounced us it.
bounced,ryan bounced me something.
bounced,emma bounced jessica some milk.
bounced,they bounced grandma a book.
bounced,tommy bounced her the book.
bounced,he bounced grandpa an egg.
bounced,I bounced the dog the gift.
bounced,claire bounced cinderella some flowers.
bounced,james bounced them the scissors.
bounced,she bounced the cat a box.
bounced,the doctor bounced daddy the ball.
bounced,paul bounced a dog some cookies.
bounced,nina bounced a cat a spoon.
dragged,she dragged me a lot.
dragged,emily dragged her some cookies.
dragged,james dragged jack something.
dragged,the doctor dragged the dog a box.
dragged,paul dragged him the box.
dragged,lucy dragged jessica some flowers.
dragged,he dragged grandpa it.
dragged,jill dragged john the scissors.
dragged,you dragged teddy some money.
dragged,ryan dragged the cat some food.
dragged,brian dragged us a toy.
dragged,nina dragged cinderella the gift.
dragged,I dragged them an egg.
dragged,santa dragged jennifer a ball.
dragged,emma dragged daddy the ball.
dragged,they dragged you a spoon.
dragged,charlie dragged a cat some milk.
dragged,felix dragged a dog the book.
dragged,tommy dragged grandma a present.
dragged,claire dragged mommy a book.
flipped,you flipped teddy a spoon.
flipped,santa flipped daddy something.
flipped,they flipped her a present.
flipped,brian flipped mommy some milk.
flipped,felix flipped jennifer the book.
flipped,he flipped john a book.
flipped,jill flipped us some money.
flipped,emma flipped grandpa a lot.
flipped,emily flipped jessica some food.
flipped,claire flipped him the ball.
flipped,lucy flipped me the box.
flipped,she flipped a dog some cookies.
flipped,the doctor flipped them the scissors.
flipped,I flipped grandma a toy.
flipped,paul flipped the dog an egg.
flipped,charlie flipped cinderella the gift.
flipped,nina flipped the cat it.
flipped,james flipped jack some flowers.
flipped,ryan flipped a cat a box.
flipped,tommy flipped you a ball.
flew,they flew me the book.
flew,charlie flew them some food.
flew,santa flew jack a box.
flew,felix flew john a book.
flew,the doctor flew a cat the box.
flew,lucy flew you some cookies.
flew,nina flew us the scissors.
flew,jill flew him some money.
flew,paul flew grandma the gift.
flew,ryan flew a dog the ball.
flew,I flew teddy something.
flew,you flew grandpa it.
flew,tommy flew cinderella a present.
flew,james flew the dog some flowers.
flew,emma flew daddy some milk.
flew,emily flew her a spoon.
flew,she flew jessica a ball.
flew,brian flew the cat an egg.
flew,he flew jennifer a toy.
flew,claire flew mommy a lot.
hauled,santa hauled mommy the scissors.
hauled,lucy hauled daddy it.
hauled,paul hauled cinderella some money.
hauled,you hauled a dog a lot.
hauled,the doctor hauled him a spoon.
hauled,ryan hauled them the ball.
hauled,they hauled the dog a toy.
hauled,emily hauled the cat a present.
hauled,claire hauled jennifer something.
hauled,tommy hauled teddy some flowers.
hauled,emma hauled grandma a ball.
hauled,brian hauled you some cookies.
hauled,felix hauled jack some milk.
hauled,she hauled me some food.
hauled,I hauled grandpa the book.
hauled,james hauled her a book.
hauled,nina hauled jessica the box.
hauled,jill hauled us the gift.
hauled,he hauled john an egg.
hauled,charlie hauled a cat a box.
kicked,nina kicked teddy something.
kicked,felix kicked her a toy.
kicked,they kicked jennifer a lot.
kicked,tommy kicked the cat some food.
kicked,ryan kicked you a book.
kicked,emily kicked cinderella a ball.
kicked,you kicked a dog the ball.
kicked,charlie kicked him some flowers.
kicked,jill kicked mommy the gift.
kicked,claire kicked us an egg.
kicked,he kicked me a present.
kicked,james kicked a cat a box.
kicked,brian kicked grandpa some milk.
kicked,she kicked jessica the book.
kicked,paul kicked grandma some cookies.
kicked,I kicked them some money.
kicked,emma kicked daddy the box.
kicked,the doctor kicked jack a spoon.
kicked,santa kicked john it.
kicked,lucy kicked the dog the scissors.
signed,the doctor signed the dog the book.
signed,santa signed the cat something.
signed,they signed teddy a spoon.
signed,you signed you the scissors.
signed,jill signed grandpa an egg.
signed,she signed jessica a lot.
signed,lucy signed jennifer a box.
signed,james signed cinderella a present.
signed,charlie signed john some food.
signed,tommy signed them some milk.
signed,brian signed mommy the gift.
signed,felix signed a dog the box.
signed,nina signed jack a ball.
signed,he signed them some cookies.
signed,I signed grandma a toy.
signed,claire signed a cat the ball.
signed,emily signed us some flowers.
signed,emma signed daddy some money.
signed,paul signed her it.
signed,ryan signed me a book.
slammed,ryan slammed the dog a ball.
slammed,james slammed john the book.
slammed,the doctor slammed jennifer an egg.
slammed,I slammed daddy some milk.
slammed,emma slammed the cat some money.
slammed,nina slammed mommy a toy.
slammed,charlie slammed a cat something.
slammed,felix slammed cinderella a spoon.
slammed,brian slammed them the scissors.
slammed,paul slammed us some cookies.
slammed,they slammed her some flowers.
slammed,she slammed grandma some food.
slammed,tommy slammed grandpa a lot.
slammed,he slammed them the gift.
slammed,lucy slammed a dog a present.
slammed,santa slammed jack a box.
slammed,claire slammed teddy it.
slammed,emily slammed me a book.
slammed,you slammed you the ball.
slammed,jill slammed jessica the box.
slipped,lucy slipped daddy some milk.
slipped,felix slipped jennifer a present.
slipped,emily slipped me some money.
slipped,nina slipped us the ball.
slipped,brian slipped cinderella a ball.
slipped,she slipped them some flowers.
slipped,charlie slipped the dog a book.
slipped,ryan slipped jack the scissors.
slipped,emma slipped grandpa some food.
slipped,claire slipped a cat a lot.
slipped,tommy slipped mommy a toy.
slipped,the doctor slipped jessica an egg.
slipped,you slipped her the book.
slipped,they slipped a dog it.
