sentence,lemma,verb,verb_pos,theme,recipient,theme_pos,recipient_pos,type,dative,status
catherine could you find him some of the red sh squares though ?,find,find,VB,some,him,DT,PRP,do-only,do,NANA-DO
maybe in the too big clothes we can find you something .,find,find,VB,something,you,NN,PRP,do-only,do,NANA-DO
she is wishing you a happy birthday .,wish,wishing,VBG,birthday,you,NN,PRP,do-only,do,NANA-DO
did grandma call and wish you happy birthday .,wish,wish,VB,birthday,you,NN,PRP,do-only,do,NANA-DO
i'll go find you some food .,find,find,VB,food,you,NN,PRP,do-only,do,NANA-DO
we'll find you some clothes .,find,find,VB,clothes,you,NNS,PRP,do-only,do,NANA-DO
can you find me the picture of lisa's and her orange juice ?,find,find,VB,picture,me,NN,PRP,do-only,do,NANA-DO
let's find you some peejays huh ?,find,find,VB,peejays,you,NNS,PRP,do-only,do,NANA-DO
find me a towel .,find,find,VB,towel,me,NN,PRP,do-only,do,NANA-DO
can you find me a towel ?,find,find,VB,towel,me,NN,PRP,do-only,do,NANA-DO
yummy i hope they save us a piece .,save,save,VBP,piece,us,NN,PRP,do-only,do,NANA-DO
let me see if i can find you a pencil there !,find,find,VB,pencil,you,NN,PRP,do-only,do,NANA-DO
find mommy another book .,find,find,VB,book,mommy,NN,NN,do-only,do,NANA-DO
you found it tweedle bug .,find,found,VBD,bug,it,NNP,PRP,do-only,do,NANA-DO
so it costs them a fortune .,cost,costs,VBZ,fortune,them,NN,PRP,do-only,do,NANA-DO
i can't find her a nonbreakable cup .,find,find,VB,cup,her,NN,PRP,do-only,do,NANA-DO
we'll find you a pad .,find,find,VB,pad,you,NN,PRP,do-only,do,NANA-DO
let's find you a pair of overalls that fit .,find,find,VB,pair,you,NN,PRP,do-only,do,NANA-DO
go find mommy another book okay ?,find,find,VB,book,mommy,NN,NN,do-only,do,NANA-DO
find mommy a different one .,find,find,VB,one,mommy,NN,NN,do-only,do,NANA-DO
i'll find you a fresh piece of paper .,find,find,VB,piece,you,NN,PRP,do-only,do,NANA-DO
can you find me an n ?,find,find,VB,n,me,NN,PRP,do-only,do,NANA-DO
let's find you a spot that's dirty .,find,find,VB,spot,you,NN,PRP,do-only,do,NANA-DO
come here and let's read a book find us a book come here .,find,find,VB,book,us,NN,PRP,do-only,do,NANA-DO
say we'll find you a helicopter next time .,find,find,VB,helicopter,you,NN,PRP,do-only,do,NANA-DO
can you find me a letter ?,find,find,VB,letter,me,NN,PRP,do-only,do,NANA-DO
maybe i could find you one .,find,find,VB,one,you,CD,PRP,do-only,do,NANA-DO
can you find me the picture of a flower ?,find,find,VB,picture,me,NN,PRP,do-only,do,NANA-DO
can you find me another orange block ?,find,find,VB,block,me,NN,PRP,do-only,do,NANA-DO
okay find me another orange one .,find,find,VB,one,me,NN,PRP,do-only,do,NANA-DO
i'll find you one that is rough and then you can see the difference .,find,find,VB,one,you,NN,PRP,do-only,do,NANA-DO
and now we need a c can you find me a c .,find,find,VB,me,c,PRP,NN,do-only,do,NANA-DO
you just find you one ?,find,find,VB,one,you,CD,PRP,do-only,do,NANA-DO
let's find you some other clothes that you like better .,find,find,VB,clothes,you,NNS,PRP,do-only,do,NANA-DO
can you find me something better than toast ?,find,find,VB,something,me,NN,PRP,do-only,do,NANA-DO
i want some bananas can you find me some bananas ?,find,find,VB,me,bananas,PRP,NNS,do-only,do,NANA-DO
let daddy find you a penny .,find,find,VB,penny,you,NN,PRP,do-only,do,NANA-DO
let daddy find you a penny .,find,find,VB,penny,you,NN,PRP,do-only,do,NANA-DO
oh okay find me a book ?,find,find,VB,book,me,NN,PRP,do-only,do,NANA-DO
well find me a green one .,find,find,VB,one,me,NN,PRP,do-only,do,NANA-DO
oh okay find me a book .,find,find,VB,book,me,NN,PRP,do-only,do,NANA-DO
won't you find me some carrot cake .,find,find,VB,cake,me,NN,PRP,do-only,do,NANA-DO
