experiment_id,idx,dative,givenness_template,hypothesis_id,hypothesis_item,template_type,template,context,utterance,agent,theme,recipient,theme_animacy,recipient_animacy,theme_pronominality,recipient_pronominality,theme_definiteness,recipient_definiteness,theme_givenness,recipient_givenness,theme_length,recipient_length,binary_score,length_score,haap_score
HAAP-2pv_DO2PO,4481,DO,1,281,1,agent-only,agent-only,"Do you see Sarah ?
", Sarah [verb] a small horse a big cookie .,Sarah,a big cookie,a small horse,inanimate,animate,noun,noun,indefinite,indefinite,new,new,3,3,5,0,5
HAAP-2pv_DO2PO,4481,DO,2,281,1,agent-only,agent-only,"Look it's Sarah !
", Sarah [verb] a small horse a big cookie .,Sarah,a big cookie,a small horse,inanimate,animate,noun,noun,indefinite,indefinite,new,new,3,3,5,0,5
HAAP-2pv_DO2PO,4481,DO,3,281,1,agent-only,agent-only,"Here's Sarah !
", Sarah [verb] a small horse a big cookie .,Sarah,a big cookie,a small horse,inanimate,animate,noun,noun,indefinite,indefinite,new,new,3,3,5,0,5
HAAP-2pv_DO2PO,4483,DO,1,281,2,agent-only,agent-only,"Do you see Jenny ?
", Jenny [verb] a brown bear a thick book .,Jenny,a thick book,a brown bear,inanimate,animate,noun,noun,indefinite,indefinite,new,new,3,3,5,0,5
HAAP-2pv_DO2PO,4483,DO,2,281,2,agent-only,agent-only,"Look it's Jenny !
", Jenny [verb] a brown bear a thick book .,Jenny,a thick book,a brown bear,inanimate,animate,noun,noun,indefinite,indefinite,new,new,3,3,5,0,5
HAAP-2pv_DO2PO,4483,DO,3,281,2,agent-only,agent-only,"Here's Jenny !
", Jenny [verb] a brown bear a thick book .,Jenny,a thick book,a brown bear,inanimate,animate,noun,noun,indefinite,indefinite,new,new,3,3,5,0,5
HAAP-2pv_DO2PO,4485,DO,1,281,3,agent-only,agent-only,"Do you see William ?
", William [verb] a big horse some tool boxes .,William,some tool boxes,a big horse,inanimate,animate,noun,noun,indefinite,indefinite,new,new,3,3,5,0,5
HAAP-2pv_DO2PO,4485,DO,2,281,3,agent-only,agent-only,"Look it's William !
", William [verb] a big horse some tool boxes .,William,some tool boxes,a big horse,inanimate,animate,noun,noun,indefinite,indefinite,new,new,3,3,5,0,5
HAAP-2pv_DO2PO,4485,DO,3,281,3,agent-only,agent-only,"Here's William !
", William [verb] a big horse some tool boxes .,William,some tool boxes,a big horse,inanimate,animate,noun,noun,indefinite,indefinite,new,new,3,3,5,0,5
HAAP-2pv_DO2PO,4487,DO,1,281,4,agent-only,agent-only,"Do you see Laura ?
", Laura [verb] a big bear a red pencil .,Laura,a red pencil,a big bear,inanimate,animate,noun,noun,indefinite,indefinite,new,new,3,3,5,0,5
HAAP-2pv_DO2PO,4487,DO,2,281,4,agent-only,agent-only,"Look it's Laura !
", Laura [verb] a big bear a red pencil .,Laura,a red pencil,a big bear,inanimate,animate,noun,noun,indefinite,indefinite,new,new,3,3,5,0,5
HAAP-2pv_DO2PO,4487,DO,3,281,4,agent-only,agent-only,"Here's Laura !
", Laura [verb] a big bear a red pencil .,Laura,a red pencil,a big bear,inanimate,animate,noun,noun,indefinite,indefinite,new,new,3,3,5,0,5
HAAP-2pv_DO2PO,4489,DO,1,281,5,agent-only,agent-only,"Do you see Alex ?
", Alex [verb] a big horse some little cookies .,Alex,some little cookies,a big horse,inanimate,animate,noun,noun,indefinite,indefinite,new,new,3,3,5,0,5
HAAP-2pv_DO2PO,4489,DO,2,281,5,agent-only,agent-only,"Look it's Alex !
", Alex [verb] a big horse some little cookies .,Alex,some little cookies,a big horse,inanimate,animate,noun,noun,indefinite,indefinite,new,new,3,3,5,0,5
HAAP-2pv_DO2PO,4489,DO,3,281,5,agent-only,agent-only,"Here's Alex !
", Alex [verb] a big horse some little cookies .,Alex,some little cookies,a big horse,inanimate,animate,noun,noun,indefinite,indefinite,new,new,3,3,5,0,5
HAAP-2pv_DO2PO,4491,DO,1,281,6,agent-only,agent-only,"Do you see Michael ?
", Michael [verb] some little girls a big toy .,Michael,a big toy,some little girls,inanimate,animate,noun,noun,indefinite,indefinite,new,new,3,3,5,0,5
HAAP-2pv_DO2PO,4491,DO,2,281,6,agent-only,agent-only,"Look it's Michael !
", Michael [verb] some little girls a big toy .,Michael,a big toy,some little girls,inanimate,animate,noun,noun,indefinite,indefinite,new,new,3,3,5,0,5
HAAP-2pv_DO2PO,4491,DO,3,281,6,agent-only,agent-only,"Here's Michael !
", Michael [verb] some little girls a big toy .,Michael,a big toy,some little girls,inanimate,animate,noun,noun,indefinite,indefinite,new,new,3,3,5,0,5
HAAP-2pv_DO2PO,4493,DO,1,281,7,agent-only,agent-only,"Do you see Mark ?
", Mark [verb] some small horses a red ball .,Mark,a red ball,some small horses,inanimate,animate,noun,noun,indefinite,indefinite,new,new,3,3,5,0,5
HAAP-2pv_DO2PO,4493,DO,2,281,7,agent-only,agent-only,"Look it's Mark !
", Mark [verb] some small horses a red ball .,Mark,a red ball,some small horses,inanimate,animate,noun,noun,indefinite,indefinite,new,new,3,3,5,0,5
HAAP-2pv_DO2PO,4493,DO,3,281,7,agent-only,agent-only,"Here's Mark !
", Mark [verb] some small horses a red ball .,Mark,a red ball,some small horses,inanimate,animate,noun,noun,indefinite,indefinite,new,new,3,3,5,0,5
