sentence,lemma,verb,verb_pos,theme,recipient,theme_pos,recipient_pos,genset
is that dirty you wanna give it to mommy ?,give,give,VB,it,mommy,PRP,NN,
she must be saying something to him .,say,saying,VBG,something,him,NN,PRP,vbg
you never finished reading maggie's book to me .,read,reading,VBG,book,me,NN,PRP,vbg
momma tell you she wouldn't take you to the square any more ?,take,take,VB,you,square,PRP,NN,
give it to me please .,give,give,VB,it,me,PRP,PRP,
no we gave that to somebody .,give,gave,VBD,that,somebody,DT,NN,vbd
what do you say to him ?,say,say,VB,what,him,WP,PRP,
wait i'll give it to you in a minute when i'm done .,give,give,VB,it,you,PRP,PRP,
let's throw it to megan ?,throw,throw,VB,it,megan,PRP,NNP,
ellie and david gave this to nina .,give,gave,VBD,this,nina,DT,NNP,vbd
dya think that's what we should do with that tissue or you think maybe you should give that to mommy ?,give,give,VB,that,mommy,DT,NN,
and then he gave some to nina .,give,gave,VBD,some,nina,DT,NNP,vbd
nonna sent that to you too didn't she ?,send,sent,VBD,that,you,DT,PRP,vbd
give it to him .,give,give,VB,it,him,PRP,PRP,
pierre and maryse gave this to you .,give,gave,VBD,this,you,DT,PRP,vbd
ellie gave that to you as a present ?,give,gave,VBD,that,you,DT,PRP,vbd
if i give it to you will you go to bed .,give,give,VBP,it,you,PRP,PRP,
it's not nice to tell jokes to yourself in company .,tell,tell,VB,jokes,yourself,NNS,PRP,
i'm gonna take you to that gymboree so you can run around ?,take,take,VB,you,gymboree,PRP,NN,
i'll give it back to you ?,give,give,VB,it,you,PRP,PRP,
we have to write little notes to people on our cards ?,write,write,VB,notes,people,NNS,NNS,
show it to give it to gail .,give,give,VB,it,gail,PRP,NNP,
you want mommy to read that to you again .,read,read,VB,that,you,DT,PRP,
i ought to take it to work .,take,take,VB,it,work,PRP,NN,
giving this one to cromer ?,give,giving,VBG,one,cromer,NN,NNP,vbg
do you wanna read it to me or do you wanna read another one ?,read,read,VB,it,me,PRP,PRP,
do you know who sent these to you ?,send,sent,VBD,these,you,DT,PRP,vbd
do you want me to write your name on a piece of paper and you can copy it on to the card ?,write,write,VB,name,piece,NN,NN,
yes give one to ursla ?,give,give,VB,one,ursla,PRP,NNP,
i think you should bring that back and give it to ursula ?,give,give,VB,it,ursula,PRP,NNP,
you i read that to you every night .,read,read,VBD,that,you,DT,PRP,vbd
oh you're gonna throw the ball to mommy ?,throw,throw,VB,ball,mommy,NN,NN,
okay say i can't give that to you until you give me a penny .,give,give,VB,that,you,DT,PRP,
now listen let me explain something to you ?,explain,explain,VB,something,you,NN,PRP,
you want to show them to the bunny and tell him about wellfleet .,show,show,VB,them,bunny,PRP,NN,
shall we wrap this cookie up and take it to maggie's house .,take,take,VB,it,house,PRP,NN,
throw it to me meanie ?,throw,throw,VB,it,me,PRP,PRP,
he said that you'd be mine if i said this to you ?,say,said,VBD,this,you,DT,PRP,vbd
who gave that to you sarah ?,give,gave,VBD,that,you,DT,PRP,vbd
so what is the dump truck going to bring to the mouse .,bring,bring,VB,what,mouse,WP,NN,
you're telling the story to sleepy .,tell,telling,VBG,story,sleepy,NN,NNP,vbg
tony gave that to you .,give,gave,VBD,that,you,DT,PRP,vbd
here let's give this orange pillow to wags ?,give,give,VB,pillow,wags,NN,NNS,
read the book to jim .,read,read,VB,book,jim,NN,NNP,
i hope that you never do anything like that it'll be very bad for you they took me to the hospital what do you see in the hospital here .,take,took,VBD,anything,that,NN,DT,x
you can give a shampoo to the brush .,give,give,VB,shampoo,brush,NN,NN,
would you like to take your little kittie to school .,take,take,VB,kittie,school,NN,NN,
about what the bears are doing and tell it to us while you read us the book ?,tell,tell,VB,it,us,PRP,PRP,
give a kiss to your foot ?,give,give,VB,kiss,foot,NN,NN,
i'll put this over here and you can read it to them .,read,read,VB,it,them,PRP,PRP,
who sent the picture of the lion to nina ?,send,sent,VBD,picture,lion,NN,NN,vbd
so i've only been i've been trying to give it to her once a week ?,give,give,VB,it,her,PRP,PRP,
you don't want anybody to read it to you .,read,read,VB,it,you,PRP,PRP,
oh are you going to show it to the patient when he wakes up .,show,show,VB,it,patient,PRP,NN,
we've always sent daddy to work and we're cleaning up .,send,sent,VBN,daddy,work,NN,NN,vbd
and look the little bug's bringing his little doll to bed too .,bring,bringing,VBG,doll,bed,NN,NN,vbg
what does he say to you ?,say,say,VB,what,you,WP,PRP,
we're going to give it to him .,give,give,VB,it,him,PRP,PRP,
you can be his mommy now and take him to four seas .,take,take,VB,him,seas,PRP,NNS,
i didn't say anything to her .,say,say,VB,anything,her,NN,PRP,
no nonna gave the picture of the lion to nina .,give,gave,VBD,picture,lion,NN,NN,vbd
come and show it to me .,show,show,VB,it,me,PRP,PRP,
you wanna read this book to me ?,read,read,VB,book,me,NN,PRP,
nina can you give can you give the whistle to linda and let's show linda some toys .,give,give,VB,whistle,linda,NN,NNP,
did you write a letter to anybody ?,write,write,VB,letter,anybody,NN,NN,
child gave the receiver to her mommy .,give,gave,VBD,receiver,mommy,NN,NN,vbd
i'll give that to somebody that will .,give,give,VB,that,somebody,DT,NN,
shall we give some of your toys to another little girl ?,give,give,VB,some,toys,DT,NNS,
but i'll give it to you on a cassette ?,give,give,VB,it,you,PRP,PRP,
show them to me ?,show,show,VB,them,me,PRP,PRP,
you're reading the book to the bears at toddler time i thought ?,read,reading,VBG,book,bears,NN,NNS,vbg
are you gonna be able to read it to him .,read,read,VB,it,him,PRP,PRP,
now i gotta see where i wrote a check to your school .,write,wrote,VBD,check,school,NN,NN,vbd
no give it to mama .,give,give,VB,it,mama,PRP,NN,
he doesn't bring anything to naughty girls just good girls ?,bring,bring,VB,anything,girls,NN,NNS,
gave the carrot to the big big rabbit ?,give,gave,VBD,carrot,rabbit,NN,NN,vbd
can i send a message to your phone ?,send,send,VB,message,phone,NN,NN,
i'd feed my pajamas to giant piranhas but i wouldn't say .,feed,feed,VB,pajamas,piranhas,NNS,NNS,
when when we go to gramma hanke's shall we take some of your toys on the airplane ?,take,take,VB,hanke,some,NNP,DT,
he lifted his hat to the manager who was standing just inside the door and then consulted mrs brown's shopping list .,lift,lifted,VBD,hat,manager,NN,NN,vbd
oh that is ursula's you give it to ursula .,give,give,VBP,it,ursula,PRP,NNP,
she wants to push the little baby to bed .,push,push,VB,baby,bed,NN,NN,
you think lynn would like to read the book to you ?,read,read,VB,book,you,NN,PRP,
now give it to melissa .,give,give,VB,it,melissa,PRP,NNP,
what do you want to take to the movies ?,take,take,VB,what,movies,WP,NNS,
sold to a circus then week after week they showed him to people at ten cents a peek .,show,showed,VBD,circus,week,NN,NN,vbd
throw the mangos down to his friend ?,throw,throw,VB,mangos,friend,NNS,NN,
he took the car to work .,take,took,VBD,car,work,NN,NN,vbd
well this is he's feeding cake to his little animals .,feed,feeding,VBG,cake,animals,NN,NNS,vbg
did you write a letter to santa !,write,write,VB,letter,santa,NN,NNP,
do you want to read this one to mommy and then mommy will read this one to you ?,read,read,VB,one,mommy,NN,NN,
take it to work .,take,take,VB,it,work,PRP,NN,
oh can you sing rock a bye to him ?,sing,sing,VB,bye,him,UH,PRP,
no you throw it to me .,throw,throw,VBP,it,me,PRP,PRP,vbd
chester duplicated his christmas list every year and gave a copy to wilson because they always wanted to same things anyway .,give,gave,VBD,copy,wilson,NN,NNP,vbd
who gave this monkey to nina ?,give,gave,VBD,monkey,nina,NN,NNP,vbd
will you give that to gigi please .,give,give,VB,that,gigi,DT,NNP,
you want to say goodbye to her ?,say,say,VB,goodbye,her,NN,PRP,
now first i'll hand them to you and let you hold them a little while .,hand,hand,VB,them,you,PRP,PRP,
maybe he does we'll have to give it to him when he gets home hah .,give,give,VB,it,him,PRP,PRP,
say something to yourself now ?,say,say,VB,something,yourself,NN,PRP,
maybe you wanna introduce little box to baby .,introduce,introduce,VB,box,baby,NN,NN,
let me push you up to the table ?,push,push,VB,you,table,PRP,NN,
who sent the lion to nina ?,send,sent,VBD,lion,nina,NN,NNP,vbd
you've seen daddy do that when he takes you to the y m c a for swim class .,take,takes,VBZ,you,a,PRP,NN,
throw it to me buddy .,throw,throw,VB,it,me,PRP,PRP,
you take us to club and suzy or you picks us up .,take,take,VBP,us,club,PRP,NN,
let her give it to you .,give,give,VB,it,you,PRP,PRP,
i think we'll have to take the swing down and give it to richard .,give,give,VB,it,richard,PRP,NNP,
i need to return eight books to the library and backpack's going to help me ?,return,return,VB,books,library,NNS,NN,
here give him to me to bite hum .,give,give,VB,him,me,PRP,PRP,
you wanna put some shorts on because we gonna go outside and take that stuff to the garage ?,take,take,VB,stuff,garage,NN,NN,
i'm gonna bring mom to the airport in the morning .,bring,bring,VB,mom,airport,NN,NN,
do you want to wrap this up and take it to maggie's house ?,take,take,VB,it,house,PRP,NN,
what if santa doesn't give it to you ?,give,give,VB,it,you,PRP,PRP,
nonna brought that book to you that's right .,bring,brought,VBD,book,you,NN,PRP,vbd
let's slide it to the circle .,slide,slide,VB,it,circle,PRP,NN,
okay i'm gonna throw the ball to you .,throw,throw,VB,ball,you,NN,PRP,
are you gonna show it to him ?,show,show,VB,it,him,PRP,PRP,
bring it to me and i'll fix it .,bring,bring,VB,it,me,PRP,PRP,
what'd the guy say to you ?,say,say,VB,what,you,WP,PRP,
you can feed the dolly a snack before she goes to bed in the plate that maggie gave you .,feed,feed,VB,snack,bed,NN,NN,
give it to daddy please .,give,give,VB,it,daddy,PRP,NN,
okay let's bring some to maggie .,bring,bring,VB,some,maggie,DT,NNP,
i brought you a present to you .,bring,brought,VBD,present,you,NN,PRP,vbd
