idx,dative,givenness_template,hypothesis_id,hypothesis_item,code_id,code_score,length_score,haap_score,score,best_lr,best_wd,best_epoch,template_id,item,template_type,template,combo,stimulus,agent,theme,recipient,theme_pronominality,theme_animacy,theme_definiteness,recipient_pronominality,recipient_animacy,recipient_definiteness,length_diff,theme_givenness,recipient_givenness
1,DO,1,1,1,15,3,0,3,3,0.05,0,16,1,1,agent-only,agent-only,agent-only_none__padpai_0,"Do you see Laura ?
<s> Laura [verb] someone me .",Laura,me,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,new,new
1,DO,2,1,1,15,3,0,3,3,0.05,0,66,2,1,agent-only,agent-only,agent-only_none__padpai_0,"Look it's Laura !
<s> Laura [verb] someone me .",Laura,me,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,new,new
1,DO,3,1,1,15,3,0,3,3,0.05,0,24,3,1,agent-only,agent-only,agent-only_none__padpai_0,"Here's Laura !
<s> Laura [verb] someone me .",Laura,me,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,new,new
3,DO,1,1,2,15,3,0,3,3,0.05,0,15,1,1,agent-only,agent-only,agent-only_none__padpai_0,"Do you see William ?
<s> William [verb] someone us .",William,us,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,new,new
3,DO,2,1,2,15,3,0,3,3,0.05,0,6,2,1,agent-only,agent-only,agent-only_none__padpai_0,"Look it's William !
<s> William [verb] someone us .",William,us,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,new,new
3,DO,3,1,2,15,3,0,3,3,0.05,0,22,3,1,agent-only,agent-only,agent-only_none__padpai_0,"Here's William !
<s> William [verb] someone us .",William,us,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,new,new
5,DO,1,1,3,15,3,0,3,3,0.05,0,70,1,1,agent-only,agent-only,agent-only_none__padpai_0,"Do you see Mark ?
<s> Mark [verb] someone me .",Mark,me,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,new,new
5,DO,2,1,3,15,3,0,3,3,0.05,0,33,2,1,agent-only,agent-only,agent-only_none__padpai_0,"Look it's Mark !
<s> Mark [verb] someone me .",Mark,me,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,new,new
5,DO,3,1,3,15,3,0,3,3,0.05,0,70,3,1,agent-only,agent-only,agent-only_none__padpai_0,"Here's Mark !
<s> Mark [verb] someone me .",Mark,me,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,new,new
7,DO,1,1,4,15,3,0,3,3,0.05,0,11,1,1,agent-only,agent-only,agent-only_none__padpai_0,"Do you see Alex ?
<s> Alex [verb] someone us .",Alex,us,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,new,new
