idx,template_id,item,dative,hypothesis_id,hypothesis_item,template_type,template,combo,stimulus,agent,theme,recipient,theme_pronominality,theme_animacy,theme_definiteness,recipient_pronominality,recipient_animacy,recipient_definiteness,length_diff,givenness_template,theme_givenness,recipient_givenness
1,1,1,do,1,1,agent-only,agent-only,agent-only_none__padpai_0,"Do you see Laura ?
<s> Laura [verb] someone me .",Laura,me,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,1,new,new
2,1,1,pp,1,1,agent-only,agent-only,agent-only_none__padpai_0,"Do you see Laura ?
<s> Laura [verb] me to someone .",Laura,me,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,1,new,new
3,1,1,do,1,2,agent-only,agent-only,agent-only_none__padpai_0,"Do you see William ?
<s> William [verb] someone us .",William,us,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,1,new,new
4,1,1,pp,1,2,agent-only,agent-only,agent-only_none__padpai_0,"Do you see William ?
<s> William [verb] us to someone .",William,us,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,1,new,new
5,1,1,do,1,3,agent-only,agent-only,agent-only_none__padpai_0,"Do you see Mark ?
<s> Mark [verb] someone me .",Mark,me,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,1,new,new
6,1,1,pp,1,3,agent-only,agent-only,agent-only_none__padpai_0,"Do you see Mark ?
<s> Mark [verb] me to someone .",Mark,me,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,1,new,new
7,1,1,do,1,4,agent-only,agent-only,agent-only_none__padpai_0,"Do you see Alex ?
<s> Alex [verb] someone us .",Alex,us,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,1,new,new
8,1,1,pp,1,4,agent-only,agent-only,agent-only_none__padpai_0,"Do you see Alex ?
<s> Alex [verb] us to someone .",Alex,us,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,1,new,new
9,1,1,do,1,5,agent-only,agent-only,agent-only_none__padpai_0,"Do you see Michael ?
<s> Michael [verb] someone me .",Michael,me,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,1,new,new
10,1,1,pp,1,5,agent-only,agent-only,agent-only_none__padpai_0,"Do you see Michael ?
<s> Michael [verb] me to someone .",Michael,me,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,1,new,new
11,1,1,do,1,6,agent-only,agent-only,agent-only_none__padpai_0,"Do you see Judy ?
<s> Judy [verb] someone us .",Judy,us,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,1,new,new
12,1,1,pp,1,6,agent-only,agent-only,agent-only_none__padpai_0,"Do you see Judy ?
<s> Judy [verb] us to someone .",Judy,us,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,1,new,new
13,1,1,do,1,7,agent-only,agent-only,agent-only_none__padpai_0,"Do you see Sarah ?
<s> Sarah [verb] someone me .",Sarah,me,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,1,new,new
14,1,1,pp,1,7,agent-only,agent-only,agent-only_none__padpai_0,"Do you see Sarah ?
<s> Sarah [verb] me to someone .",Sarah,me,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,1,new,new
15,1,1,do,1,8,agent-only,agent-only,agent-only_none__padpai_0,"Do you see Jenny ?
<s> Jenny [verb] someone us .",Jenny,us,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,1,new,new
16,1,1,pp,1,8,agent-only,agent-only,agent-only_none__padpai_0,"Do you see Jenny ?
<s> Jenny [verb] us to someone .",Jenny,us,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,1,new,new
