item_id,model_state,do,pp
0,initial,-8.08604621887207,-7.500884532928467
1,initial,-8.729360580444336,-8.331782341003418
2,initial,-7.700971603393555,-7.2652740478515625
3,initial,-9.45738697052002,-8.798134803771973
4,initial,-8.019673347473145,-6.435028076171875
5,initial,-8.714432716369629,-7.966308116912842
6,initial,-9.770281791687012,-9.083470344543457
7,initial,-8.503576278686523,-7.750763416290283
8,initial,-7.850015163421631,-6.6230926513671875
9,initial,-7.700971603393555,-7.2652740478515625
10,initial,-9.647624969482422,-8.210198402404785
11,initial,-7.393666744232178,-6.917791843414307
12,initial,-8.463014602661133,-7.106143474578857
13,initial,-9.572847366333008,-8.22619342803955
14,initial,-7.850015163421631,-6.6230926513671875
15,initial,-9.567198753356934,-8.537688255310059
16,initial,-7.617234706878662,-6.985929012298584
17,initial,-8.239750862121582,-7.9128642082214355
18,initial,-9.830079078674316,-9.320021629333496
19,initial,-7.472926139831543,-7.009705066680908
20,initial,-7.472596645355225,-7.320656776428223
21,initial,-8.283700942993164,-7.711145877838135
22,initial,-9.42698860168457,-8.544220924377441
23,initial,-7.931350231170654,-7.411983489990234
24,initial,-9.267570495605469,-8.426506996154785
25,initial,-7.931350231170654,-7.411983489990234
26,initial,-9.664360046386719,-8.85915470123291
27,initial,-9.38133430480957,-9.273667335510254
28,initial,-7.549377918243408,-7.551531791687012
29,initial,-9.709356307983398,-8.674468040466309
30,initial,-7.797115802764893,-7.635644435882568
31,initial,-8.877053260803223,-8.035140037536621
32,initial,-9.426986694335938,-8.544220924377441
33,initial,-8.877052307128906,-8.035140037536621
34,initial,-8.403709411621094,-8.104020118713379
35,initial,-9.249083518981934,-8.920985221862793
36,initial,-7.549376010894775,-7.551530361175537
37,initial,-8.877052307128906,-8.035140037536621
38,initial,-7.60437536239624,-7.574513912200928
39,initial,-7.335809230804443,-6.952640533447266
40,initial,-7.770444393157959,-7.302863121032715
41,initial,-7.578899383544922,-6.8265533447265625
42,initial,-7.336357116699219,-6.730705261230469
43,initial,-8.39338493347168,-8.105141639709473
44,initial,-8.45266056060791,-7.050075054168701
45,initial,-7.724936485290527,-7.22248649597168
46,initial,-8.178826332092285,-6.973246097564697
47,initial,-7.991605281829834,-7.297513484954834
48,initial,-8.979951858520508,-8.270222663879395
49,initial,-7.935595512390137,-7.070490837097168
50,initial,-8.275778770446777,-7.807536602020264
51,initial,-8.967599868774414,-8.08215618133545
52,initial,-8.121231079101562,-7.356221675872803
53,initial,-8.500458717346191,-7.811872482299805
54,initial,-8.075223922729492,-7.544090747833252
55,initial,-7.97716760635376,-7.0508599281311035
56,initial,-7.832291126251221,-6.841206073760986
57,initial,-6.829850673675537,-6.501016616821289
58,initial,-8.029555320739746,-7.09770393371582
59,initial,-7.7308173179626465,-6.702516078948975
60,initial,-8.633151054382324,-8.499106407165527
61,initial,-9.221446990966797,-8.195473670959473
62,initial,-10.86204719543457,-9.894576072692871
63,initial,-9.833203315734863,-9.171187400817871
64,initial,-8.422119140625,-7.8251495361328125
65,initial,-7.733736515045166,-7.927417278289795
66,initial,-8.102034568786621,-7.613152503967285
67,initial,-10.85029411315918,-10.246078491210938
68,initial,-8.679288864135742,-8.202174186706543
69,initial,-8.295178413391113,-7.78900146484375
70,initial,-8.488316535949707,-7.920041561126709
71,initial,-9.344200134277344,-9.328381538391113
72,initial,-7.151986598968506,-6.914866924285889
73,initial,-7.955039978027344,-7.842280864715576
74,initial,-7.260280609130859,-7.3260040283203125
75,initial,-9.699841499328613,-8.817885398864746
76,initial,-8.472418785095215,-7.733105659484863
77,initial,-9.679265022277832,-9.140825271606445
