item_id,model_state,score
0,initial,-6.8737664222717285
1,initial,-8.951979637145996
2,initial,-7.632429599761963
3,initial,-7.414120674133301
4,initial,-6.5106587409973145
5,initial,-8.769993782043457
6,initial,-6.726829528808594
7,initial,-8.5466947555542
8,initial,-6.617340087890625
9,initial,-7.254391193389893
10,initial,-7.588280200958252
11,initial,-6.289220333099365
12,initial,-6.541267395019531
13,initial,-6.579066753387451
14,initial,-6.772364139556885
15,initial,-6.913001537322998
16,initial,-8.249938011169434
17,initial,-6.289220333099365
18,initial,-8.45661735534668
19,initial,-7.632429599761963
20,initial,-8.103314399719238
21,initial,-8.076465606689453
22,initial,-7.73431921005249
23,initial,-6.505490779876709
24,initial,-6.561389446258545
25,initial,-8.076465606689453
26,initial,-7.803476333618164
27,initial,-7.001700401306152
28,initial,-6.658242702484131
29,initial,-7.803476333618164
30,initial,-7.125372409820557
31,initial,-7.932025909423828
32,initial,-6.6483001708984375
33,initial,-8.45362377166748
34,initial,-8.278607368469238
35,initial,-7.334286689758301
36,initial,-6.692526817321777
37,initial,-8.279531478881836
38,initial,-6.8288044929504395
39,initial,-7.958804607391357
40,initial,-7.707152366638184
41,initial,-6.682260513305664
42,initial,-7.926701068878174
43,initial,-6.665506839752197
44,initial,-6.771604061126709
45,initial,-8.036174774169922
46,initial,-6.325419902801514
47,initial,-7.400609016418457
48,initial,-8.082961082458496
49,initial,-8.323074340820312
50,initial,-7.792537689208984
51,initial,-7.791135311126709
52,initial,-7.100944995880127
53,initial,-7.967967987060547
54,initial,-7.84915828704834
55,initial,-6.864682674407959
56,initial,-7.280401229858398
57,initial,-7.323615074157715
58,initial,-8.184723854064941
59,initial,-7.24424934387207
60,initial,-6.646811008453369
61,initial,-8.55495834350586
62,initial,-8.709830284118652
63,initial,-9.349287033081055
64,initial,-8.861893653869629
65,initial,-7.049000263214111
66,initial,-7.966115474700928
67,initial,-6.947201251983643
68,initial,-8.229068756103516
69,initial,-6.784381866455078
70,initial,-8.230053901672363
71,initial,-7.001055717468262
72,initial,-8.061894416809082
73,initial,-8.044583320617676
74,initial,-8.410273551940918
75,initial,-8.775860786437988
76,initial,-8.0037841796875
77,initial,-7.19486141204834
78,initial,-7.413665771484375
79,initial,-6.9691481590271
80,initial,-6.665497779846191
81,initial,-7.596553325653076
82,initial,-7.200344562530518
83,initial,-7.007537364959717
84,initial,-6.555023193359375
85,initial,-6.739166259765625
86,initial,-6.503931522369385
87,initial,-7.279439926147461
88,initial,-8.09317398071289
89,initial,-6.789121150970459
90,initial,-6.523819923400879
91,initial,-6.963432312011719
92,initial,-6.969286918640137
93,initial,-5.997687816619873
94,initial,-6.8340044021606445
95,initial,-7.171754360198975
96,initial,-7.594791412353516
97,initial,-5.316166877746582
98,initial,-6.930948734283447
99,initial,-5.788977146148682
100,initial,-8.22162914276123
101,initial,-7.211472511291504
102,initial,-7.516743183135986
103,initial,-7.683235168457031
104,initial,-6.996462345123291
105,initial,-7.228737831115723
106,initial,-5.835310935974121
107,initial,-7.343306541442871
108,initial,-6.996462345123291
109,initial,-5.887624263763428
110,initial,-8.18419075012207
111,initial,-7.38250732421875
112,initial,-6.807553291320801
113,initial,-7.59860897064209
114,initial,-7.548996925354004
115,initial,-6.594594955444336
116,initial,-6.661780834197998
117,initial,-7.9893927574157715
118,initial,-7.326845645904541
119,initial,-7.316094875335693
120,initial,-6.9750189781188965
121,initial,-7.281325817108154
122,initial,-5.568613529205322
123,initial,-6.273940563201904
124,initial,-6.60896110534668
125,initial,-5.568613529205322
126,initial,-7.5563483238220215
127,initial,-6.72305154800415
128,initial,-7.274188995361328
129,initial,-6.249929904937744
130,initial,-6.444703102111816
131,initial,-5.891759395599365
132,initial,-7.1158881187438965
133,initial,-7.39886474609375
134,initial,-5.91947603225708
135,initial,-7.361937999725342
136,initial,-6.709770679473877
137,initial,-7.554267406463623
138,initial,-6.472214698791504
139,initial,-7.164464950561523
140,initial,-6.42527961730957
141,initial,-6.59146785736084
142,initial,-7.5841569900512695
143,initial,-6.021270275115967
144,initial,-7.499420166015625
145,initial,-7.457637786865234
146,initial,-6.77252721786499
147,initial,-7.543544769287109
148,initial,-7.6384077072143555
149,initial,-6.858983516693115
150,initial,-7.707528114318848
151,initial,-7.0863752365112305
152,initial,-6.48153829574585
153,initial,-6.158112049102783
154,initial,-6.682357311248779
155,initial,-7.052031517028809
156,initial,-6.682357311248779
157,initial,-7.166322708129883
158,initial,-7.378373622894287
159,initial,-6.558985233306885
160,initial,-6.707544326782227
161,initial,-7.135591983795166
162,initial,-7.314888000488281
163,initial,-7.631615161895752
164,initial,-7.558267593383789
165,initial,-7.484035015106201
166,initial,-5.8365159034729
167,initial,-7.401243686676025
168,initial,-8.090271949768066
169,initial,-6.3297200202941895
170,initial,-7.910322189331055
171,initial,-7.461696147918701
172,initial,-8.559676170349121
173,initial,-8.101228713989258
174,initial,-7.3169026374816895
175,initial,-7.050082683563232
176,initial,-8.046405792236328
177,initial,-8.0106840133667
178,initial,-6.246174335479736
179,initial,-7.603797435760498
180,initial,-5.895598411560059
181,initial,-6.115355968475342
182,initial,-6.012009143829346
183,initial,-5.641916751861572
184,initial,-7.101171016693115
185,initial,-6.741616725921631
186,initial,-6.125452995300293
187,initial,-6.783285140991211
188,initial,-6.617963790893555
189,initial,-7.111470699310303
190,initial,-7.524518013000488
191,initial,-7.181209564208984
192,initial,-6.0342912673950195
193,initial,-7.360367774963379
194,initial,-6.297159671783447
195,initial,-5.369124412536621
196,initial,-7.127503871917725
197,initial,-5.946213722229004
198,initial,-6.460824012756348
199,initial,-5.751705646514893
200,initial,-6.122941493988037
201,initial,-6.923599720001221
202,initial,-6.356921672821045
203,initial,-6.178462982177734
204,initial,-5.368357181549072
205,initial,-5.368357181549072
206,initial,-6.264789581298828
207,initial,-6.328708648681641
208,initial,-7.398323059082031
209,initial,-7.115118503570557
210,initial,-7.671185493469238
211,initial,-7.3736371994018555
212,initial,-7.189175605773926
213,initial,-6.610391139984131
214,initial,-5.918982028961182
215,initial,-6.490396022796631
216,initial,-6.522818088531494
217,initial,-7.080119609832764
218,initial,-6.856104373931885
219,initial,-7.2985310554504395
220,initial,-6.907596588134766
221,initial,-7.447956085205078
222,initial,-7.692460536956787
223,initial,-8.55249309539795
224,initial,-7.3210883140563965
225,initial,-8.70246410369873
226,initial,-8.510812759399414
227,initial,-8.433024406433105
228,initial,-7.577248573303223
229,initial,-8.693426132202148
230,initial,-7.482607364654541
231,initial,-6.726458549499512
232,initial,-7.478611946105957
233,initial,-7.744936943054199
234,initial,-6.632274627685547
235,initial,-8.136822700500488
236,initial,-8.786736488342285
237,initial,-8.73397159576416
238,initial,-7.161327838897705
239,initial,-6.707433223724365
240,initial,-6.94093132019043
241,initial,-8.94776439666748
242,initial,-8.411755561828613
243,initial,-7.127028942108154
244,initial,-7.845377445220947
245,initial,-8.345723152160645
246,initial,-8.117321968078613
247,initial,-8.005314826965332
248,initial,-7.49785041809082
249,initial,-7.642405033111572
250,initial,-8.508394241333008
251,initial,-7.930263996124268
252,initial,-6.632274627685547
253,initial,-7.447956562042236
254,initial,-7.447956562042236
255,initial,-8.693426132202148
256,initial,-7.472218990325928
257,initial,-7.036988258361816
258,initial,-8.797938346862793
259,initial,-7.221501350402832
260,initial,-8.231644630432129
261,initial,-8.062407493591309
262,initial,-7.381753444671631
263,initial,-6.63124418258667
264,initial,-7.011666297912598
265,initial,-6.744229316711426
266,initial,-7.951731204986572
267,initial,-6.529126167297363
268,initial,-7.933380603790283
269,initial,-7.585018157958984
270,initial,-7.724944114685059
271,initial,-7.089450836181641
272,initial,-8.04067325592041
273,initial,-6.820165157318115
274,initial,-6.59761381149292
275,initial,-7.400304794311523
276,initial,-7.099668502807617
277,initial,-6.161362171173096
278,initial,-7.078633785247803
279,initial,-7.798530101776123
280,initial,-7.997040271759033
281,initial,-6.95367956161499
282,initial,-6.209852695465088
283,initial,-6.557722568511963
284,initial,-8.186508178710938
285,initial,-7.710063934326172
286,initial,-6.750063419342041
287,initial,-7.098950386047363
288,initial,-8.236351013183594
289,initial,-7.255462646484375
290,initial,-8.350244522094727
291,initial,-8.312697410583496
292,initial,-8.329974174499512
293,initial,-7.00864839553833
294,initial,-8.275657653808594
295,initial,-7.669614315032959
296,initial,-8.268082618713379
297,initial,-6.990971565246582
298,initial,-7.1176066398620605
299,initial,-7.595829486846924
300,initial,-7.1176066398620605
301,initial,-7.55846643447876
302,initial,-8.038681983947754
303,initial,-7.019489765167236
304,initial,-7.07154655456543
305,initial,-7.543585300445557
306,initial,-7.256611347198486
307,initial,-7.029667377471924
308,initial,-7.984686851501465
309,initial,-7.915392875671387
310,initial,-7.669614315032959
311,initial,-7.384189128875732
312,initial,-8.260730743408203
313,initial,-8.236351013183594
314,initial,-8.031811714172363
315,initial,-7.029667377471924
316,initial,-7.168676853179932
317,initial,-7.444325923919678
318,initial,-6.905709266662598
319,initial,-8.475361824035645
320,initial,-7.069358825683594
321,initial,-8.23635196685791
322,initial,-7.101151466369629
323,initial,-7.735426425933838
324,initial,-6.519137859344482
325,initial,-8.399615287780762
326,initial,-6.254124164581299
327,initial,-7.639773845672607
328,initial,-7.430180072784424
329,initial,-6.454123020172119
330,initial,-6.801743984222412
331,initial,-7.697450160980225
332,initial,-6.969243049621582
333,initial,-8.269264221191406
334,initial,-8.134933471679688
335,initial,-7.9671854972839355
336,initial,-6.85565710067749
337,initial,-8.007587432861328
338,initial,-7.248469829559326
339,initial,-7.964252471923828
340,initial,-6.943319320678711
341,initial,-7.053081512451172
342,initial,-7.557788848876953
343,initial,-7.053081512451172
344,initial,-7.051907539367676
345,initial,-8.062056541442871
346,initial,-6.379404544830322
347,initial,-7.267629623413086
348,initial,-6.884699821472168
349,initial,-6.853967666625977
350,initial,-5.839615821838379
351,initial,-6.761209487915039
352,initial,-6.047373294830322
353,initial,-6.897363662719727
354,initial,-6.645050525665283
355,initial,-6.564816951751709
356,initial,-6.686868667602539
357,initial,-7.33282995223999
358,initial,-6.718539714813232
359,initial,-7.236922264099121
360,initial,-6.611665725708008
361,initial,-5.860733985900879
362,initial,-6.720523834228516
363,initial,-6.22919225692749
364,initial,-7.664115905761719
365,initial,-6.642099857330322
366,initial,-7.568386554718018
367,initial,-6.634840965270996
368,initial,-7.359062194824219
369,initial,-6.956647872924805
370,initial,-6.103216171264648
371,initial,-7.147706985473633
372,initial,-5.763373851776123
373,initial,-7.078804969787598
374,initial,-7.049493312835693
375,initial,-6.867914199829102
376,initial,-7.180246829986572
377,initial,-6.058987617492676
378,initial,-6.545518398284912
379,initial,-5.788247585296631
380,initial,-6.184835433959961
381,initial,-6.984508991241455
382,initial,-6.091536045074463
383,initial,-6.121912956237793
384,initial,-6.471799373626709
385,initial,-6.4091796875
386,initial,-6.634840965270996
387,initial,-6.809026718139648
388,initial,-7.131540775299072
389,initial,-6.438615322113037
390,initial,-7.274674892425537
391,initial,-6.6255202293396
392,initial,-6.450617790222168
393,initial,-6.2168192863464355
394,initial,-6.781277656555176
395,initial,-6.361927032470703
396,initial,-6.979196071624756
397,initial,-7.00811767578125
398,initial,-6.619744300842285
399,initial,-6.980222225189209
400,initial,-7.509646415710449
401,initial,-7.028129577636719
402,initial,-7.34436559677124
403,initial,-6.615628719329834
404,initial,-5.937620639801025
405,initial,-6.723780632019043
406,initial,-6.613577842712402
407,initial,-7.676629066467285
408,initial,-6.616334438323975
409,initial,-7.151769638061523
410,initial,-7.169553756713867
411,initial,-8.346985816955566
412,initial,-9.476827621459961
413,initial,-7.580546855926514
414,initial,-8.372838973999023
415,initial,-7.227656364440918
416,initial,-8.003931999206543
417,initial,-7.89139461517334
418,initial,-7.1729207038879395
419,initial,-5.848390579223633
420,initial,-7.021364688873291
421,initial,-8.708383560180664
422,initial,-8.747325897216797
423,initial,-7.295533180236816
424,initial,-8.465388298034668
425,initial,-7.967431545257568
426,initial,-7.867569923400879
427,initial,-6.955860137939453
428,initial,-8.6912202835083
429,initial,-7.626755714416504
430,initial,-8.698418617248535
431,initial,-8.59039306640625
432,initial,-8.2632417678833
433,initial,-8.93083667755127
434,initial,-7.955304145812988
435,initial,-7.003417015075684
436,initial,-6.558325290679932
437,initial,-7.191873073577881
438,initial,-6.839184284210205
439,initial,-8.272334098815918
440,initial,-6.999879360198975
441,initial,-8.086285591125488
442,initial,-7.439552307128906
443,initial,-7.285916328430176
444,initial,-8.33093547821045
445,initial,-7.756443023681641
446,initial,-8.960634231567383
447,initial,-8.859596252441406
448,initial,-8.91242504119873
449,initial,-7.906566143035889
450,initial,-7.569187164306641
451,initial,-7.074568271636963
452,initial,-7.144319534301758
453,initial,-6.897073745727539
454,initial,-8.010468482971191
455,initial,-8.913288116455078
456,initial,-7.332925796508789
457,initial,-7.671545505523682
458,initial,-7.024365425109863
459,initial,-7.245100975036621
460,initial,-7.659524440765381
461,initial,-6.806687355041504
462,initial,-6.00234317779541
463,initial,-6.186870098114014
464,initial,-7.977081775665283
465,initial,-7.985389232635498
466,initial,-6.99290657043457
467,initial,-7.937725067138672
468,initial,-7.159049034118652
469,initial,-7.7190093994140625
470,initial,-6.573807716369629
471,initial,-8.089495658874512
472,initial,-6.022482872009277
473,initial,-8.042832374572754
474,initial,-7.321555137634277
475,initial,-7.7566375732421875
476,initial,-7.255249977111816
477,initial,-6.401569843292236
478,initial,-6.518030166625977
479,initial,-6.916335582733154
480,initial,-6.8886213302612305
481,initial,-7.429004192352295
482,initial,-6.5930633544921875
